Place,Rank,First,Last,Full Name,Adjust,Score,Money,,Median,58.0,,,
1,1,Danny,Kerfeld,Danny Kerfeld,0.00,46,$75.00,,,,,,
2,1,Matt,Neiman,Matt Neiman,0.00,46,$75.00,,,,,,
3,3,Joe,Dannels,Joe Dannels,0.00,48,$32.00,,,,,,
4,3,Jeff,Faes,Jeff Faes,0.00,48,$32.00,,,,,,
5,3,Jesse,Kerfeld,Jesse Kerfeld,0.00,48,$32.00,,,,,,
6,6,James,Proctor,James Proctor,0.00,49,$14.00,,,,,,
7,6,Mike,Sale,Mike Sale,0.00,49,$14.00,,,,,,
8,8,Cheyney,Steininger,Cheyney Steininger,0.00,50,$10.00,,,,,,
9,8,Dennis,Warsen,Dennis Warsen,0.00,50,$10.00,,,,,,
10,8,Chris,Tirrell,Chris Tirrell,0.00,50,$10.00,,,,,,
11,11,Juan,Bernal,Juan Bernal,0.00,51,$8.00,,,,,,
12,12,Beau,Griffin,Beau Griffin,0.00,52,$5.00,,,,,,
13,12,Mike,Figueroa,Mike Figueroa,0.00,52,$5.00,,,,,,
14,12,Marquis,Oliver,Marquis Oliver,0.00,52,$5.00,,,,,,
15,15,Greg,Breazeale,Greg Breazeale,0.00,53,,,,,,,
16,15,Eric,Leaf,Eric Leaf,0.00,53,,,,,,,
17,15,Chris,Isom,Chris Isom,0.00,53,,,,,,,
18,15,Bob,Proctor,Bob Proctor,0.00,53,,,,,,,
19,19,Brandon,Lohmann,Brandon Lohmann,0.00,54,,,,,,,
20,19,Cory,Murrell,Cory Murrell,0.00,54,,,,,,,
21,19,Bob,McGarity,Bob McGarity,0.00,54,,,,,,,
22,19,Matt,Duncanson,Matt Duncanson,0.00,54,,,,,,,
23,19,Wilson,Linker,Wilson Linker,0.00,54,,,,,,,
24,24,Travis,Callahan,Travis Callahan,0.00,55,,,,,,,
25,24,Chris,Rogers,Chris Rogers,0.00,55,,,,,,,
26,24,Toby,Parks,Toby Parks,0.00,55,,,,,,,
27,24,Chase,Lawler,Chase Lawler,0.00,55,,,,,,,
28,24,Dan,Santini,Dan Santini,0.00,55,,,,,,,
29,24,Ben,Fox,Ben Fox,0.00,55,,,,,,,
30,30,Andy,Hale,Andy Hale,0.00,56,,,,,,,
31,30,Will,Borger,Will Borger,0.00,56,,,,,,,
32,30,Simon,Crosby,Simon Crosby,0.00,56,,,,,,,
33,30,Matt,Brenner,Matt Brenner,0.00,56,,,,,,,
34,30,Luiz,Celeste,Luiz Celeste,0.00,56,,,,,,,
35,30,Joe,Frediani,Joe Frediani,0.00,56,,,,,,,
36,30,Trevor,Duckworth,Trevor Duckworth,0.00,56,,,,,,,
37,37,Marco,Benites,Marco Benites,0.00,57,,,,,,,
