Rank,(All),,,,,,,,,,,,,,,,,,,,
No Handicap,(Multiple Items),,,,,,,,,,,,,,,,,,,,
Median Var,(All),,,,,,,,,,,,,,,,,,,,
Season,(All),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Values,,,,,,,,,,,,,,,,,,,,
Full Name,Count of Full Name,Min of Score,,,,,,Full Name,Count of Full Name,Min of Score,check,check,,,,,,,,,
Don McIntyre,2,66,,,,,,Marquis Oliver,136,42,42,0,,,,,,,,,
Doug Bushey,5,58,,,,,,Mike Figueroa,135,48,48,0,,,,,,,,,
Doug Mitchell,392,45,,,,,,Matt Poland,134,54,54,0,,,,,,,,,
Doug Perlich,21,51,,,,,,Dylan Cantu,133,44,44,0,,,,,,,,,
Drake Birkie,62,53,,,,,,Steve Archuleta,132,45,45,0,,,,,,,,,
Dustin Jackson,1,63,,,,,,Andy Hale,129,45,45,0,,,,,,,,,
Eric ,1,72,,,,,,Sean Saxton,128,48,48,0,,,,,,,,,
Eric Jensen,9,56,,,,,,Nathan La Chance,128,45,45,0,,,,,,,,,
Eric Laughlin,3,56,,,,,,Anne Farrell,127,66,66,0,,,,,,,,,
Eric Leaf,286,46,,,,,,Orion Sylvester,125,46,46,0,,,,,,,,,
Eric Stucker,36,48,,,,,,Roger Crain,124,47,47,0,,,,,,,,,
Erik Carvajal,2,74,,,,,,Chris Hart,123,49,49,0,,,,,,,,,
Erik Kamprud,23,59,,,,,,Viento Nieto,122,49,49,0,,,,,,,,,
Ernie Motton,4,61,,,,,,Evan Sjostrom,121,49,49,0,,,,,,,,,
Eva Schmidt,19,71,,,,,,Jesse Kerfeld,120,41,41,0,,,,,,,,,
Evan Sjostrom,121,49,,,,,,Gregg LaComb,120,48,48,0,,,,,,,,,
Gabriel Coke,23,53,,,,,,Harper Alexander,119,45,45,0,,,,,,,,,
Gary Neely,5,66,,,,,,Dave McGrath,119,47,47,0,,,,,,,,,
George Kolcun,31,57,,,,,,Jonathan Ogan,116,52,52,0,,,,,,,,,
George Quinn,4,57,,,,,,Pento Malekzadeh,116,55,55,0,,,,,,,,,
George Ross,69,46,,,,,,Reggae Prime Minister,116,51,51,0,,,,,,,,,
Gil Stucker,1,64,,,,,,Hugh Harrell,115,59,59,0,,,,,,,,,
Greg Randolph,36,52,,,,,,Hunt Hyde,114,44,44,0,,,,,,,,,
Greg Stevenson,12,45,,,,,,Alaw Guo,114,50,50,0,,,,,,,,,
Greywing Cooper,11,52,,,,,,Cheyney Steininger,114,40,40,0,,,,,,,,,
Gulya Barclay,13,59,,,,,,Luke Walton,113,48,48,0,,,,,,,,,
Gulya Brown,2,64,,,,,,Cory Murrell,112,45,45,0,,,,,,,,,
Hans Unger,3,63,,,,,,Nate Stone,110,48,48,0,,,,,,,,,
Holly Bowling,1,85,,,,,,Matt Neiman,110,45,45,0,,,,,,,,,
Hunt Hyde,114,44,,,,,,Niko deVries,108,48,48,0,,,,,,,,,
Ian Edwards,2,51,,,,,,Billy Manger,107,52,52,0,,,,,,,,,
Jabir Ponce,145,43,,,,,,Filipe Wong,107,48,48,0,,,,,,,,,
Jacob Demott,6,52,,,,,,Joe Martinez,106,51,51,0,,,,,,,,,
James Atterrudy,1,67,,,,,,Casey Livingood,106,49,49,0,,,,,,,,,
James Costa,24,49,,,,,,Jesse Hast,105,49,49,0,,,,,,,,,
James Ream,1,58,,,,,,Rich Korach,105,48,48,0,,,,,,,,,
James Schindler,38,52,,,,,,Peter Black,104,43,43,0,,,,,,,,,
Jamie Tuckey,1,51,,,,,,Toby Parks,104,44,44,0,,,,,,,,,
Jared Persinger,1,62,,,,,,Mike Peremba,102,44,44,0,,,,,,,,,
Jason Golz,14,53,,,,,,Leon Geer,102,64,64,0,,,,,,,,,
Jason Tindell,251,49,,,,,,Joel Johnson,101,50,50,0,,,,,,,,,
Jay Carvajal,2,80,,,,,,Don Pierotti,100,47,47,0,,,,,,,,,
Jeff David,13,51,,,,,,Jesse Miller,100,49,49,0,,,,,,,,,
Jeff DeForr,12,55,,,,,,Daniel Christensen,99,48,48,0,,,,,,,,,
Jeff Faes,253,42,,,,,,Zachary Looper-Friedman,99,48,48,0,,,,,,,,,
Jeff Fiedler,146,42,,,,,,Chris Vanleemput,98,48,48,0,,,,,,,,,
Jeff Gomez,1,61,,,,,,Jonny Blank,97,49,49,0,,,,,,,,,
Jeff Munday,1,61,,,,,,Tristan Kolkhorst,97,48,48,0,,,,,,,,,
Jeff Perrigo,1,55,,,,,,Josh Cook,97,44,44,0,,,,,,,,,
Jeffery Bowling,39,57,,,,,,Jason Chinn,97,52,52,0,,,,,,,,,
Jeremiah Steinberg,202,46,,,,,,Chris Butterworth,97,45,45,0,,,,,,,,,
Jeremy Hunter,1,66,,,,,,Doug Jensen,96,45,45,0,,,,,,,,,
Jeremy Krupp,36,56,,,,,,Chris Culp,95,51,51,0,,,,,,,,,
Jesse Coughlin,1,77,,,,,,Mike Coleman,95,47,47,0,,,,,,,,,
Jesse Hast,105,49,,,,,,Andy Painter,94,49,49,0,,,,,,,,,
Jesse Kerfeld,120,41,,,,,,Josh Haberman,94,47,47,0,,,,,,,,,
Jim Deasy,2,64,,,,,,David Waisblum,93,43,43,0,,,,,,,,,
Jim Grbac,1,51,,,,,,Alex Torres,93,49,49,0,,,,,,,,,
Joanna Atkinson,2,71,,,,,,Eric Forsberg,92,50,50,0,,,,,,,,,
Joe Albano,1,70,,,,,,Mark Rozansky,91,50,50,0,,,,,,,,,
Joe Busby,260,50,,,,,,Keek Solorio,91,45,45,0,,,,,,,,,
Joe Monforton,2,60,,,,,,Scott Marley,91,56,56,0,,,,,,,,,
Joe Munday,1,66,,,,,,Joe Dannels,91,45,45,0,,,,,,,,,
Joe Olson,38,51,,,,,,Eldridge Manchester,90,47,47,0,,,,,,,,,
Johanna Atklinson,1,67,,,,,,Ross Hammond,89,46,46,0,,,,,,,,,
John Carter,2,57,,,,,,Chris Kennedy,86,53,53,0,,,,,,,,,
John Kishimoto,3,58,,,,,,Jerry Showman,86,43,43,0,,,,,,,,,
Jon Toby,436,48,,,,,,Michael Courvoisier,85,48,48,0,,,,,,,,,
Jonah Newcomb,1,61,,,,,,James Teets,84,50,50,0,,,,,,,,,
Jonah Schmidt,72,48,,,,,,Kris Mickelson,83,49,49,0,,,,,,,,,
Jonathan Owen,13,53,,,,,,Jesse Pemberton,83,52,52,0,,,,,,,,,
Jonathan San Ramon,3,57,,,,,,Keith Peedle,83,49,49,0,,,,,,,,,
Jose Yasol,8,59,,,,,,Nelson Vasquez,83,48,48,0,,,,,,,,,
Josh Haberman,94,47,,,,,,Michael Chulada,82,47,47,0,,,,,,,,,
Josh Yocum,15,52,,,,,,Tim Deweerd,82,51,51,0,,,,,,,,,
JP Buletti,1,61,,,,,,Wolf Gaudchau,81,48,48,0,,,,,,,,,
Justin Bragg,4,58,,,,,,Michael Infusino,80,54,54,0,,,,,,,,,
Kale Jessen,14,49,,,,,,Scott Kay,80,47,47,0,,,,,,,,,
Karen Miller,1,68,,,,,,Dave Mairs,79,48,48,0,,,,,,,,,
Kenny Holowatch,7,51,,,,,,Brendan O'Reilly,78,49,49,0,,,,,,,,,
Kevin Couch,41,44,,,,,,Chris Pescatello,78,45,45,0,,,,,,,,,
Kevin Eckert,250,46,,,,,,Jacques Duhon,77,51,51,0,,,,,,,,,
Kevin Raos,6,55,,,,,,Brandon Lohmann,77,48,48,0,,,,,,,,,
Kevin Royal,1,60,,,,,,Brad Hoover,76,50,50,0,,,,,,,,,
Kevin Smeds,327,48,,,,,,Drew Stancliffe,76,48,48,0,,,,,,,,,
Khyber Easton,30,49,,,,,,Chris Tirrell,76,49,49,0,,,,,,,,,
Kim Sturdevant,63,56,,,,,,Becky Terrill,75,55,55,0,,,,,,,,,
Kourosh Gorgi,2,59,,,,,,Rob Levander,73,51,51,0,,,,,,,,,
Kumar Chaudhari,71,50,,,,,,Jonah Schmidt,72,48,48,0,,,,,,,,,
Kyle McCann,34,54,,,,,,Sam Albadeh,72,56,56,0,,,,,,,,,
Kyle Neuer,3,63,,,,,,Daniel Charlip-Blumlein,72,49,49,0,,,,,,,,,
Les Dranic,15,52,,,,,,Kumar Chaudhari,71,50,50,0,,,,,,,,,
Les Swift,206,48,,,,,,Gonzolo Arestizabal,71,56,56,0,,,,,,,,,
Life Gibson,275,48,,,,,,Andy Rothschild,71,47,47,0,,,,,,,,,
Luke Weisman,1,58,,,,,,James Metzger,70,50,50,0,,,,,,,,,
Mac Castillo,2,57,,,,,,George Ross,69,46,46,0,,,,,,,,,
Mark Anderson,53,53,,,,,,Alan Owings,67,50,50,0,,,,,,,,,
Mark Luers,10,60,,,,,,Sean Scruby,67,43,43,0,,,,,,,,,
Mark Pelzner,42,48,,,,,,Max Rosen,66,49,49,0,,,,,,,,,
Mark Rozansky,91,50,,,,,,Alan Chambless,65,54,54,0,,,,,,,,,
