Rank,(All),,,,,,,,,,,,,,,,,,,,
No Handicap,(Multiple Items),,,,,,,,,,,,,,,,,,,,
Median Var,(All),,,,,,,,,,,,,,,,,,,,
Season,(All),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Values,,,,,,,,,,,,,,,,,,,,
Full Name,Count of Full Name,Min of Score,,,,,,Full Name,Count of Full Name,Min of Score,check,check,,,,,,,,,
Chris Basuino,28,44,,,,,,,,,,,,,,,,,,,
Markus Mika,1,60,,,,,,,,,,,,,,,,,,,
Michael Woodruff,1,68,,,,,,,,,,,,,,,,,,,
Paul Ramirez,1,68,,,,,,,,,,,,,,,,,,,
Sam Goldenberg,1,68,,,,,,,,,,,,,,,,,,,
Keith Peedle,83,49,,,,,,,,,,,,,,,,,,,
Matt Smey,2,68,,,,,,,,,,,,,,,,,,,
Doug Fletcher,2,72,,,,,,,,,,,,,,,,,,,
Kristin Orr,1,93,,,,,,,,,,,,,,,,,,,
Geoff Forrey,4,48,,,,,,,,,,,,,,,,,,,
Scott Kyle,2,52,,,,,,,,,,,,,,,,,,,
Matt Rowe,8,48,,,,,,,,,,,,,,,,,,,
Eric Ramirez,7,53,,,,,,,,,,,,,,,,,,,
Brad Cink,9,52,,,,,,,,,,,,,,,,,,,
Dan Flannigan,1,54,,,,,,,,,,,,,,,,,,,
Brad Everett,16,55,,,,,,,,,,,,,,,,,,,
Josh Goates,1,59,,,,,,,,,,,,,,,,,,,
Ope Whalen,1,60,,,,,,,,,,,,,,,,,,,
Neil Bondy,1,62,,,,,,,,,,,,,,,,,,,
Zach Robinson,6,61,,,,,,,,,,,,,,,,,,,
Gonzolo Arestizabal,71,56,,,,,,,,,,,,,,,,,,,
David Gilad Maze,1,88,,,,,,,,,,,,,,,,,,,
Tyler Delatorre,3,59,,,,,,,,,,,,,,,,,,,
Matt Larson,1,85,,,,,,,,,,,,,,,,,,,
Cale Leiviska,1,39,,,,,,,,,,,,,,,,,,,
Nikko Locastro,1,46,,,,,,,,,,,,,,,,,,,
David Williams,2,56,,,,,,,,,,,,,,,,,,,
Robert Williamson,1,62,,,,,,,,,,,,,,,,,,,
Brad Coggins,2,63,,,,,,,,,,,,,,,,,,,
Ari Freedman,59,49,,,,,,,,,,,,,,,,,,,
Mark Young,9,62,,,,,,,,,,,,,,,,,,,
Joe Martinez,106,51,,,,,,,,,,,,,,,,,,,
Leah Imanil,3,68,,,,,,,,,,,,,,,,,,,
K.P. Hunter,1,86,,,,,,,,,,,,,,,,,,,
Mike Degnan,57,51,,,,,,,,,,,,,,,,,,,
Nick Calabrese,15,54,,,,,,,,,,,,,,,,,,,
George Zinner,1,50,,,,,,,,,,,,,,,,,,,
Anne Kreml,3,52,,,,,,,,,,,,,,,,,,,
Andy Somers,18,54,,,,,,,,,,,,,,,,,,,
Brent Rosen,1,59,,,,,,,,,,,,,,,,,,,
Steve Hines,8,49,,,,,,,,,,,,,,,,,,,
Perotti ,1,60,,,,,,,,,,,,,,,,,,,
David Henning,1,61,,,,,,,,,,,,,,,,,,,
Brandon Hightower,1,64,,,,,,,,,,,,,,,,,,,
Joe Frediani,34,52,,,,,,,,,,,,,,,,,,,
Chris Malan,1,65,,,,,,,,,,,,,,,,,,,
Raider Robb,5,64,,,,,,,,,,,,,,,,,,,
Brandon Briggs,1,74,,,,,,,,,,,,,,,,,,,
Ian Grady,2,71,,,,,,,,,,,,,,,,,,,
Tessa Tschantre,29,59,,,,,,,,,,,,,,,,,,,
Vanessa Provencio,1,122,,,,,,,,,,,,,,,,,,,
Gerald Lumpkin,1,53,,,,,,,,,,,,,,,,,,,
Joe Wardman,1,67,,,,,,,,,,,,,,,,,,,
Nathaniel Redmond,12,61,,,,,,,,,,,,,,,,,,,
Joe Glass,1,69,,,,,,,,,,,,,,,,,,,
Michael Debord,1,71,,,,,,,,,,,,,,,,,,,
Josh Babiak,138,49,,,,,,,,,,,,,,,,,,,
Stephen Buers,1,,,,,,,,,,,,,,,,,,,,
John Siegfred,1,59,,,,,,,,,,,,,,,,,,,
Brandon Saker,47,57,,,,,,,,,,,,,,,,,,,
Anthony Gonzales,6,84,,,,,,,,,,,,,,,,,,,
Thad Roa,21,55,,,,,,,,,,,,,,,,,,,
Bill Harke,2,60,,,,,,,,,,,,,,,,,,,
Jason Lenahan,2,73,,,,,,,,,,,,,,,,,,,
Shaun Black,2,57,,,,,,,,,,,,,,,,,,,
Mike Mittman,1,69,,,,,,,,,,,,,,,,,,,
Jason Chinn,97,52,,,,,,,,,,,,,,,,,,,
Chris Gregerson,1,80,,,,,,,,,,,,,,,,,,,
Eryck Bevan,2,61,,,,,,,,,,,,,,,,,,,
Jon Sigfried,1,65,,,,,,,,,,,,,,,,,,,
Del Ray Livremento,3,58,,,,,,,,,,,,,,,,,,,
Scooter Wilson,50,54,,,,,,,,,,,,,,,,,,,
Alec Levandoshi,1,56,,,,,,,,,,,,,,,,,,,
Jeremiah Palmerston,7,56,,,,,,,,,,,,,,,,,,,
Nelson Hernandez,2,55,,,,,,,,,,,,,,,,,,,
Brandon Beam,28,51,,,,,,,,,,,,,,,,,,,
Paul Fennell,5,65,,,,,,,,,,,,,,,,,,,
Jon Siegfried,4,54,,,,,,,,,,,,,,,,,,,
Burton Li,4,58,,,,,,,,,,,,,,,,,,,
Bryan Wester,1,64,,,,,,,,,,,,,,,,,,,
Mike Von Asten,8,60,,,,,,,,,,,,,,,,,,,
Dan Duffield,3,63,,,,,,,,,,,,,,,,,,,
Mike Tighe,1,,,,,,,,,,,,,,,,,,,,
Michael Bergmann,2,59,,,,,,,,,,,,,,,,,,,
Kevin Divers,1,59,,,,,,,,,,,,,,,,,,,
Ben Morin,1,59,,,,,,,,,,,,,,,,,,,
Nick Zwerdling,1,62,,,,,,,,,,,,,,,,,,,
Cuong Pham,7,63,,,,,,,,,,,,,,,,,,,
Bobby Divers,3,67,,,,,,,,,,,,,,,,,,,
Spencer Schultz,1,68,,,,,,,,,,,,,,,,,,,
Mitchell Guzman,1,71,,,,,,,,,,,,,,,,,,,
Brandon Eisenhower,1,63,,,,,,,,,,,,,,,,,,,
Devin Suppan,2,71,,,,,,,,,,,,,,,,,,,
Rex Crossen2,24,52,,,,,,,,,,,,,,,,,,,
Tom Kiely2,16,54,,,,,,,,,,,,,,,,,,,
Josh Hessler,26,48,,,,,,,,,,,,,,,,,,,
Josh Aufhauser,1,53,,,,,,,,,,,,,,,,,,,
Derrick Robbins,2,53,,,,,,,,,,,,,,,,,,,
Jeremy Fritts,2,62,,,,,,,,,,,,,,,,,,,
Brenden Scroggin,2,65,,,,,,,,,,,,,,,,,,,
Matt Forehand,28,58,,,,,,,,,,,,,,,,,,,
Ben Forchini,1,66,,,,,,,,,,,,,,,,,,,
Kevin Nielen,1,67,,,,,,,,,,,,,,,,,,,
John Donily,1,72,,,,,,,,,,,,,,,,,,,
Tim Wendorf,1,73,,,,,,,,,,,,,,,,,,,
Shawn Black,1,57,,,,,,,,,,,,,,,,,,,
Mike Kazarian,3,54,,,,,,,,,,,,,,,,,,,
Josh Lewis,1,59,,,,,,,,,,,,,,,,,,,
Matt Campbell,1,60,,,,,,,,,,,,,,,,,,,
A.J. Gonzales,1,63,,,,,,,,,,,,,,,,,,,
Brandon Feisenhowfer,1,68,,,,,,,,,,,,,,,,,,,
Bryant Jacobs,1,60,,,,,,,,,,,,,,,,,,,
Adam Thompson,1,59,,,,,,,,,,,,,,,,,,,
Chris Clinton,25,51,,,,,,,,,,,,,,,,,,,
Michael Courvoisier,85,48,,,,,,,,,,,,,,,,,,,
Jase Arzola,1,62,,,,,,,,,,,,,,,,,,,
Jackson Rose,4,60,,,,,,,,,,,,,,,,,,,
Scott Jarvis,3,70,,,,,,,,,,,,,,,,,,,
Rob Payne,1,73,,,,,,,,,,,,,,,,,,,
Catherine Eix,1,,,,,,,,,,,,,,,,,,,,
Avi Hesterman,5,53,,,,,,,,,,,,,,,,,,,
James Thomas,6,50,,,,,,,,,,,,,,,,,,,
Tim Van Auken,1,64,,,,,,,,,,,,,,,,,,,
Dave McGrath,119,47,,,,,,,,,,,,,,,,,,,
Daniel Thoen,2,62,,,,,,,,,,,,,,,,,,,
Dave Driggers,1,75,,,,,,,,,,,,,,,,,,,
Jason McKinley,1,86,,,,,,,,,,,,,,,,,,,
Chris Wilson,1,93,,,,,,,,,,,,,,,,,,,
Steve Rowan,1,96,,,,,,,,,,,,,,,,,,,
Lars Gilbert,1,54,,,,,,,,,,,,,,,,,,,
Russ Allison,1,58,,,,,,,,,,,,,,,,,,,
Chris Simmons,60,52,,,,,,,,,,,,,,,,,,,
Blake Larson,7,57,,,,,,,,,,,,,,,,,,,
Ryan Brown,1,64,,,,,,,,,,,,,,,,,,,
Joe Nama,1,65,,,,,,,,,,,,,,,,,,,
Bryan Mangnall,2,68,,,,,,,,,,,,,,,,,,,
Greg Mann,17,59,,,,,,,,,,,,,,,,,,,
Greg Beach,1,,,,,,,,,,,,,,,,,,,,
Brad Whittall,1,,,,,,,,,,,,,,,,,,,,
Lewis Bitney,2,49,,,,,,,,,,,,,,,,,,,
Bubba Kennedy,9,54,,,,,,,,,,,,,,,,,,,
Walter Sans Nombre,1,62,,,,,,,,,,,,,,,,,,,
Calvin Hendrickson,10,54,,,,,,,,,,,,,,,,,,,
Michael Flandes,1,64,,,,,,,,,,,,,,,,,,,
Nathan La Chance,128,45,,,,,,,,,,,,,,,,,,,
Steve Israel,1,75,,,,,,,,,,,,,,,,,,,
Dennis Kerfeld,1,90,,,,,,,,,,,,,,,,,,,
Mike Vonfisten,1,60,,,,,,,,,,,,,,,,,,,
Dave McGrain,1,73,,,,,,,,,,,,,,,,,,,
Alex Grantz,41,55,,,,,,,,,,,,,,,,,,,
Nick Kite,1,61,,,,,,,,,,,,,,,,,,,
Chris Young,1,61,,,,,,,,,,,,,,,,,,,
Jakob Walter,1,78,,,,,,,,,,,,,,,,,,,
Jeff Hayes,8,58,,,,,,,,,,,,,,,,,,,
Aaron Hesterman,5,53,,,,,,,,,,,,,,,,,,,
Marcus Craighton,1,60,,,,,,,,,,,,,,,,,,,
Alan Grio,2,66,,,,,,,,,,,,,,,,,,,
Shaun Peterson,1,93,,,,,,,,,,,,,,,,,,,
Mark Simpson,1,66,,,,,,,,,,,,,,,,,,,
Jacob Sanderson,58,45,,,,,,,,,,,,,,,,,,,
Spyder Allen,17,59,,,,,,,,,,,,,,,,,,,
Mike Coldman,1,58,,,,,,,,,,,,,,,,,,,
Mitch Miskoski,2,62,,,,,,,,,,,,,,,,,,,
Kevin Hansen,1,74,,,,,,,,,,,,,,,,,,,
Jimmy Hunt,1,62,,,,,,,,,,,,,,,,,,,
Lance Landgren,10,47,,,,,,,,,,,,,,,,,,,
Ben Parsons,50,47,,,,,,,,,,,,,,,,,,,
Ben Unger,3,61,,,,,,,,,,,,,,,,,,,
Sam Kincaid,1,95,,,,,,,,,,,,,,,,,,,
Noah Wald,3,57,,,,,,,,,,,,,,,,,,,
Aaron Jacks,58,61,,,,,,,,,,,,,,,,,,,
Riley J Gibson,28,84,,,,,,,,,,,,,,,,,,,
Pat Mortonson,10,54,,,,,,,,,,,,,,,,,,,
Tim Acker,30,49,,,,,,,,,,,,,,,,,,,
Dominic Schaner,1,58,,,,,,,,,,,,,,,,,,,
Mike Mccarthy,1,72,,,,,,,,,,,,,,,,,,,
Justin Bojorquez,24,61,,,,,,,,,,,,,,,,,,,
Jay Harper,47,64,,,,,,,,,,,,,,,,,,,
Christopher Brantingham,19,56,,,,,,,,,,,,,,,,,,,
Michael DeBolt,19,55,,,,,,,,,,,,,,,,,,,
Ernie Trevino,7,69,,,,,,,,,,,,,,,,,,,
Brian Henderson,1,61,,,,,,,,,,,,,,,,,,,
Jesse Miller,100,49,,,,,,,,,,,,,,,,,,,
Dan Ostrowski,2,66,,,,,,,,,,,,,,,,,,,
Chance Linkenbach,5,63,,,,,,,,,,,,,,,,,,,
George Marx,39,65,,,,,,,,,,,,,,,,,,,
Connor Henderson,1,76,,,,,,,,,,,,,,,,,,,
Tim Briggs,7,64,,,,,,,,,,,,,,,,,,,
Brent Allard,156,49,,,,,,,,,,,,,,,,,,,
Brian Doris,8,50,,,,,,,,,,,,,,,,,,,
Ludwig Sund,1,57,,,,,,,,,,,,,,,,,,,
Michael Bragg,1,57,,,,,,,,,,,,,,,,,,,
Cody Williams,12,57,,,,,,,,,,,,,,,,,,,
Michael Alexander,3,62,,,,,,,,,,,,,,,,,,,
Greg Crosta,4,65,,,,,,,,,,,,,,,,,,,
Harold King,1,64,,,,,,,,,,,,,,,,,,,
Josh Bevalacqua,43,52,,,,,,,,,,,,,,,,,,,
Zach Roetzel,1,88,,,,,,,,,,,,,,,,,,,
Brett Buntjer,25,48,,,,,,,,,,,,,,,,,,,
Luiz Celeste,211,45,,,,,,,,,,,,,,,,,,,
Juni Martins,22,49,,,,,,,,,,,,,,,,,,,
Aggie Kavlick,28,61,,,,,,,,,,,,,,,,,,,
Chris Cook,1,71,,,,,,,,,,,,,,,,,,,
Sean Jordana,1,59,,,,,,,,,,,,,,,,,,,
Zac Mitchell,2,57,,,,,,,,,,,,,,,,,,,
Britain walker,1,68,,,,,,,,,,,,,,,,,,,
Julia McDonald,5,80,,,,,,,,,,,,,,,,,,,
Dan Campos,7,56,,,,,,,,,,,,,,,,,,,
Drew Smithson,15,59,,,,,,,,,,,,,,,,,,,
Nick Jaros,26,57,,,,,,,,,,,,,,,,,,,
Emily Scarbrough,5,68,,,,,,,,,,,,,,,,,,,
Andrew Cooper,1,57,,,,,,,,,,,,,,,,,,,
Mark Farr,4,58,,,,,,,,,,,,,,,,,,,
Armando Perez,10,52,,,,,,,,,,,,,,,,,,,
Mike Capeto,9,58,,,,,,,,,,,,,,,,,,,
Michael Debott,3,54,,,,,,,,,,,,,,,,,,,
Jerry Showman,86,43,,,,,,,,,,,,,,,,,,,
Agnes Kavlick,11,58,,,,,,,,,,,,,,,,,,,
Jason Langlois,1,89,,,,,,,,,,,,,,,,,,,
Filipe Wong,107,48,,,,,,,,,,,,,,,,,,,
Dan Dalby,3,64,,,,,,,,,,,,,,,,,,,
Ron Hanhy,159,58,,,,,,,,,,,,,,,,,,,
Mustang Harris,21,47,,,,,,,,,,,,,,,,,,,
Joey London,1,63,,,,,,,,,,,,,,,,,,,
Warren McCormick,45,54,,,,,,,,,,,,,,,,,,,
Ben Hutchinson,1,74,,,,,,,,,,,,,,,,,,,
Hugh Harrell,115,59,,,,,,,,,,,,,,,,,,,
David Clark,1,60,,,,,,,,,,,,,,,,,,,
Gerald Carson,3,68,,,,,,,,,,,,,,,,,,,
Mark Dub,5,62,,,,,,,,,,,,,,,,,,,
Damien Howai,4,57,,,,,,,,,,,,,,,,,,,
Luke Frisher,18,50,,,,,,,,,,,,,,,,,,,
Nick Norena,50,50,,,,,,,,,,,,,,,,,,,
Neal Graneau,1,64,,,,,,,,,,,,,,,,,,,
Nick Volpe,1,66,,,,,,,,,,,,,,,,,,,
Rich Falzone,1,70,,,,,,,,,,,,,,,,,,,
Ryan Seng,1,49,,,,,,,,,,,,,,,,,,,
John Drago,151,45,,,,,,,,,,,,,,,,,,,
Patrick Polach,13,49,,,,,,,,,,,,,,,,,,,
Mikey Vaca,20,49,,,,,,,,,,,,,,,,,,,
Eric Forsberg,92,50,,,,,,,,,,,,,,,,,,,
Will Spaziani,1,55,,,,,,,,,,,,,,,,,,,
Nate Clarke,45,52,,,,,,,,,,,,,,,,,,,
Ellen Widboom,2,64,,,,,,,,,,,,,,,,,,,
Jake Heldel,1,67,,,,,,,,,,,,,,,,,,,
Steve Lakes,1,68,,,,,,,,,,,,,,,,,,,
Maxx Vitiello,1,68,,,,,,,,,,,,,,,,,,,
Jack Mulligan,1,69,,,,,,,,,,,,,,,,,,,
Kyle Mulligan,1,70,,,,,,,,,,,,,,,,,,,
Niles Ryan,1,71,,,,,,,,,,,,,,,,,,,
Dave Walton,1,71,,,,,,,,,,,,,,,,,,,
Neil Ryan,1,75,,,,,,,,,,,,,,,,,,,
Deanna Chan,27,66,,,,,,,,,,,,,,,,,,,
Jamie Lougaris,1,85,,,,,,,,,,,,,,,,,,,
Maha Ati Conner,2,49,,,,,,,,,,,,,,,,,,,
Brandon Lohmann,77,48,,,,,,,,,,,,,,,,,,,
Jeff McGowan,2,65,,,,,,,,,,,,,,,,,,,
Casey Davenport,2,67,,,,,,,,,,,,,,,,,,,
Mike Crain,1,71,,,,,,,,,,,,,,,,,,,
Jason So,1,75,,,,,,,,,,,,,,,,,,,
Tyler Dawson,1,76,,,,,,,,,,,,,,,,,,,
Julius Brown,1,80,,,,,,,,,,,,,,,,,,,
Evan Bennett,10,54,,,,,,,,,,,,,,,,,,,
Daver Hamilton,10,53,,,,,,,,,,,,,,,,,,,
John Schmidt,1,58,,,,,,,,,,,,,,,,,,,
Dave Mitchell,2,64,,,,,,,,,,,,,,,,,,,
John Hammond,2,103,,,,,,,,,,,,,,,,,,,
Susan Cartwright,1,121,,,,,,,,,,,,,,,,,,,
Denis Flaschner,1,54,,,,,,,,,,,,,,,,,,,
Curtis Bauer,5,55,,,,,,,,,,,,,,,,,,,
Tad Thrower,11,55,,,,,,,,,,,,,,,,,,,
Dennis Bevalacqua,10,58,,,,,,,,,,,,,,,,,,,
Daniel Rossillon,4,59,,,,,,,,,,,,,,,,,,,
Corey Kohler,35,58,,,,,,,,,,,,,,,,,,,
Bruce Simonson,1,61,,,,,,,,,,,,,,,,,,,
Louie Michard,6,56,,,,,,,,,,,,,,,,,,,
Ted Hennings,5,62,,,,,,,,,,,,,,,,,,,
Gordon Susau,1,64,,,,,,,,,,,,,,,,,,,
Steve Ovian,2,69,,,,,,,,,,,,,,,,,,,
Greg Durrett,18,57,,,,,,,,,,,,,,,,,,,
Alfredo Oropeza,2,54,,,,,,,,,,,,,,,,,,,
Michael Thede,9,53,,,,,,,,,,,,,,,,,,,
Justin Lentz,2,59,,,,,,,,,,,,,,,,,,,
Zack Taylor,1,51,,,,,,,,,,,,,,,,,,,
Chris Butterworth,97,45,,,,,,,,,,,,,,,,,,,
Nate Stone,110,48,,,,,,,,,,,,,,,,,,,
Kary Roges,4,51,,,,,,,,,,,,,,,,,,,
Steve Parrott,1,62,,,,,,,,,,,,,,,,,,,
Richard Sanders,3,58,,,,,,,,,,,,,,,,,,,
Ron Hanley,2,69,,,,,,,,,,,,,,,,,,,
Craig Deschner,4,63,,,,,,,,,,,,,,,,,,,
Gib Green,3,70,,,,,,,,,,,,,,,,,,,
Ryan Moblo,1,75,,,,,,,,,,,,,,,,,,,
Jackie Arehart,4,76,,,,,,,,,,,,,,,,,,,
Jason Johnson,1,54,,,,,,,,,,,,,,,,,,,
Brian Geraghty,3,61,,,,,,,,,,,,,,,,,,,
Rick Cunningham,1,64,,,,,,,,,,,,,,,,,,,
Drew Stancliffe,76,48,,,,,,,,,,,,,,,,,,,
Justin Atchley,31,56,,,,,,,,,,,,,,,,,,,
Anthony Kincade,2,65,,,,,,,,,,,,,,,,,,,
Paul Perrino,1,,,,,,,,,,,,,,,,,,,,
Dom Volerian,3,68,,,,,,,,,,,,,,,,,,,
Will Matthews,1,60,,,,,,,,,,,,,,,,,,,
Clay Persaud,1,65,,,,,,,,,,,,,,,,,,,
Fred McCord,1,77,,,,,,,,,,,,,,,,,,,
Ian Vancil,1,82,,,,,,,,,,,,,,,,,,,
William Nayes,1,83,,,,,,,,,,,,,,,,,,,
Adam Hibble,3,57,,,,,,,,,,,,,,,,,,,
Brad Jones,1,76,,,,,,,,,,,,,,,,,,,
Tim Zebal,1,61,,,,,,,,,,,,,,,,,,,
John Deaver,1,83,,,,,,,,,,,,,,,,,,,
Paul Kennedy,31,59,,,,,,,,,,,,,,,,,,,
Jen Kearns,1,113,,,,,,,,,,,,,,,,,,,
Ban ,1,52,,,,,,,,,,,,,,,,,,,
Mike Vanderburg,4,59,,,,,,,,,,,,,,,,,,,
Joe Lozano,1,69,,,,,,,,,,,,,,,,,,,
Josh Schmidt,56,51,,,,,,,,,,,,,,,,,,,
Patrick Nelson,2,67,,,,,,,,,,,,,,,,,,,
Robby Curtis,1,77,,,,,,,,,,,,,,,,,,,
Tim McDill,1,47,,,,,,,,,,,,,,,,,,,
Josh Dunlap,1,68,,,,,,,,,,,,,,,,,,,
Bart Novak,1,68,,,,,,,,,,,,,,,,,,,
Eddie Fitzsimmons,9,50,,,,,,,,,,,,,,,,,,,
Max Shannon,8,61,,,,,,,,,,,,,,,,,,,
Johne McCray,1,53,,,,,,,,,,,,,,,,,,,
Keek Solorio,91,45,,,,,,,,,,,,,,,,,,,
Spence Wood,1,60,,,,,,,,,,,,,,,,,,,
Collin Chambers,1,67,,,,,,,,,,,,,,,,,,,
Seth Snyder,1,80,,,,,,,,,,,,,,,,,,,
Tristan Handleland,1,58,,,,,,,,,,,,,,,,,,,
Mikela Jones,1,59,,,,,,,,,,,,,,,,,,,
Evan Baker,2,60,,,,,,,,,,,,,,,,,,,
Peter Gillen,1,67,,,,,,,,,,,,,,,,,,,
Warren Applebaum,1,71,,,,,,,,,,,,,,,,,,,
Billy Harke,2,62,,,,,,,,,,,,,,,,,,,
Chris Vanleemput,98,48,,,,,,,,,,,,,,,,,,,
Jessica Janco,3,81,,,,,,,,,,,,,,,,,,,
Cameron Shirley,1,51,,,,,,,,,,,,,,,,,,,
Tony Shirley,1,53,,,,,,,,,,,,,,,,,,,
Jarrett Smith,1,61,,,,,,,,,,,,,,,,,,,
Sasha Goldsmith,2,62,,,,,,,,,,,,,,,,,,,
Julie Kruger,1,110,,,,,,,,,,,,,,,,,,,
EJ Pavia,1,84,,,,,,,,,,,,,,,,,,,
Kyle Orndorff,44,49,,,,,,,,,,,,,,,,,,,
Dan Aas,3,63,,,,,,,,,,,,,,,,,,,
Ryan McNulty,2,64,,,,,,,,,,,,,,,,,,,
Will Gullickson,37,52,,,,,,,,,,,,,,,,,,,
Andrew Rankin,12,53,,,,,,,,,,,,,,,,,,,
Mike Deluccia,2,62,,,,,,,,,,,,,,,,,,,
Ray Muller,1,68,,,,,,,,,,,,,,,,,,,
Marisela Meskus,1,98,,,,,,,,,,,,,,,,,,,
Christopher Composure,1,59,,,,,,,,,,,,,,,,,,,
Chris D'Agostino,10,50,,,,,,,,,,,,,,,,,,,
Derek Ragsdale,2,60,,,,,,,,,,,,,,,,,,,
Bryan Olney,1,60,,,,,,,,,,,,,,,,,,,
Andrew Monbouquette,20,49,,,,,,,,,,,,,,,,,,,
Joe Dockery,1,67,,,,,,,,,,,,,,,,,,,
Kenny Storrs,1,69,,,,,,,,,,,,,,,,,,,
Basil Fraysse,1,75,,,,,,,,,,,,,,,,,,,
Caleb DuBridge,2,47,,,,,,,,,,,,,,,,,,,
Tracy Crowder,17,47,,,,,,,,,,,,,,,,,,,
Thomas Albrecht,3,50,,,,,,,,,,,,,,,,,,,
Jeremy Ross,2,56,,,,,,,,,,,,,,,,,,,
Edmundo Rapin,4,65,,,,,,,,,,,,,,,,,,,
Jeff Kortis,3,85,,,,,,,,,,,,,,,,,,,
Simon Lizotte,1,50,,,,,,,,,,,,,,,,,,,
Beau Jolson,1,60,,,,,,,,,,,,,,,,,,,
Matt Messing,1,62,,,,,,,,,,,,,,,,,,,
Ryan Rinalta,1,65,,,,,,,,,,,,,,,,,,,
Jason Lortella,1,57,,,,,,,,,,,,,,,,,,,
Caleb Wilkins,1,60,,,,,,,,,,,,,,,,,,,
Daniel Diodato,44,46,,,,,,,,,,,,,,,,,,,
Walker Rowe,5,60,,,,,,,,,,,,,,,,,,,
Alex Braubach,1,66,,,,,,,,,,,,,,,,,,,
Shawn Wilkins,1,73,,,,,,,,,,,,,,,,,,,
Schuyler Raine-Mustain,1,52,,,,,,,,,,,,,,,,,,,
Tateki Noma,19,46,,,,,,,,,,,,,,,,,,,
Dan Aus,1,60,,,,,,,,,,,,,,,,,,,
Matt Woods,1,69,,,,,,,,,,,,,,,,,,,
Jordan Brooker,6,47,,,,,,,,,,,,,,,,,,,
Erik Rommz,22,54,,,,,,,,,,,,,,,,,,,
Chris D'Agastino,1,65,,,,,,,,,,,,,,,,,,,
Jacob Tupper,3,50,,,,,,,,,,,,,,,,,,,
Brian Murphy,1,55,,,,,,,,,,,,,,,,,,,
Kelley Green,1,58,,,,,,,,,,,,,,,,,,,
Shaun Little,64,50,,,,,,,,,,,,,,,,,,,
Brian Schoenfelder,1,64,,,,,,,,,,,,,,,,,,,
Sean Bereman,1,64,,,,,,,,,,,,,,,,,,,
A.J. Wecker,1,66,,,,,,,,,,,,,,,,,,,
James Colangelo,1,67,,,,,,,,,,,,,,,,,,,
Kevin Bosch,1,73,,,,,,,,,,,,,,,,,,,
Kaey Nakae,2,66,,,,,,,,,,,,,,,,,,,
Brad Dunham,2,51,,,,,,,,,,,,,,,,,,,
Kristopher Kobzeff,2,53,,,,,,,,,,,,,,,,,,,
Schuyler Raine-Mustaine,1,56,,,,,,,,,,,,,,,,,,,
Case Conover,5,53,,,,,,,,,,,,,,,,,,,
Chris Parrinello,2,54,,,,,,,,,,,,,,,,,,,
Shane Tupper,1,72,,,,,,,,,,,,,,,,,,,
Kendall Cordova,1,53,,,,,,,,,,,,,,,,,,,
Bryan Hesterman,6,51,,,,,,,,,,,,,,,,,,,
Haley Teter,1,72,,,,,,,,,,,,,,,,,,,
Karl Keily,1,80,,,,,,,,,,,,,,,,,,,
Kate Elston,1,81,,,,,,,,,,,,,,,,,,,
Nick Bendvides,1,82,,,,,,,,,,,,,,,,,,,
Maggie Bridelman,1,112,,,,,,,,,,,,,,,,,,,
Avan Owinos,1,48,,,,,,,,,,,,,,,,,,,
Jesse Ward-Karet,1,52,,,,,,,,,,,,,,,,,,,
Arron Coxxx,1,54,,,,,,,,,,,,,,,,,,,
Matt Galdin,33,53,,,,,,,,,,,,,,,,,,,
Jane Griffith,1,68,,,,,,,,,,,,,,,,,,,
Bill Shea,10,48,,,,,,,,,,,,,,,,,,,
James Jefferson,2,55,,,,,,,,,,,,,,,,,,,
Larry Kirk,3,59,,,,,,,,,,,,,,,,,,,
Donald Brandenburg,1,67,,,,,,,,,,,,,,,,,,,
Chris Dale,1,79,,,,,,,,,,,,,,,,,,,
Stacey Callego,2,61,,,,,,,,,,,,,,,,,,,
Evan Boucher,12,49,,,,,,,,,,,,,,,,,,,
Anthony Minnella,23,51,,,,,,,,,,,,,,,,,,,
Carl Sturdevant,1,77,,,,,,,,,,,,,,,,,,,
Chris Smith,2,54,,,,,,,,,,,,,,,,,,,
Bill Humby,1,60,,,,,,,,,,,,,,,,,,,
Spencer Heaphy,1,60,,,,,,,,,,,,,,,,,,,
"Michael ""Rikker"" Rickwartz",1,67,,,,,,,,,,,,,,,,,,,
Dave Higgin-Botham,2,80,,,,,,,,,,,,,,,,,,,
Delaney Cole,3,46,,,,,,,,,,,,,,,,,,,
Geoff Kegley,1,51,,,,,,,,,,,,,,,,,,,
Ryan Temple,1,64,,,,,,,,,,,,,,,,,,,
Dan Buck,37,52,,,,,,,,,,,,,,,,,,,
Dominic Valerian,1,83,,,,,,,,,,,,,,,,,,,
Andrew Joseph,7,53,,,,,,,,,,,,,,,,,,,
Andrew Kim,2,59,,,,,,,,,,,,,,,,,,,
Zach Smithson,1,89,,,,,,,,,,,,,,,,,,,
Wes Valiant,1,54,,,,,,,,,,,,,,,,,,,
Mike Pease,24,53,,,,,,,,,,,,,,,,,,,
Ron Cantwell,3,62,,,,,,,,,,,,,,,,,,,
Zack Furrer,3,62,,,,,,,,,,,,,,,,,,,
Courtney Smith,7,52,,,,,,,,,,,,,,,,,,,
Tom Swift,5,59,,,,,,,,,,,,,,,,,,,
Eric Smith,4,66,,,,,,,,,,,,,,,,,,,
