Place,Rank,First,Last,Full Name,Adjust,Score,Money,,Median,61.0,,,
1,1,Ben,Fox,Ben Fox,-6.11,49,$100.00,,,,,,
2,2,Jesse,Kerfeld,Jesse Kerfeld,-2.36,50,,,,,,,
3,3,Harper,Alexander,Harper Alexander,-3.66,51,$16.00,,,,,,
4,4,"Scott ""Bizzle""",Badovick,"Scott ""Bizzle"" Badovick",-0.95,52,,,,,,,
5,5,Jesse,Miller,Jesse Miller,-6.07,53,$72.00,,,,,,
6,5,Matt,Brenner,Matt Brenner,-4.49,53,$24.00,,,,,,
7,5,Chase,Lawler,Chase Lawler,-3.82,53,$20.00,,,,,,
8,5,Juan,Bernal,Juan Bernal,-0.13,53,,,,,,,
9,9,Travis,Callahan,Travis Callahan,-1.87,54,,,,,,,
10,9,Danny,Kerfeld,Danny Kerfeld,1.06,54,,,,,,,
11,9,Jerry,Showman,Jerry Showman,1.24,54,,,,,,,
12,9,Jeff,Faes,Jeff Faes,2.00,54,,,,,,,
13,13,Drew,Stancliffe,Drew Stancliffe,-3.21,55,$10.00,,,,,,
14,13,Joe,Dannels,Joe Dannels,-0.33,55,,,,,,,
15,13,Todd,Kurnat,Todd Kurnat,0.62,55,,,,,,,
16,13,Matt,Angel,Matt Angel,0.98,55,,,,,,,
17,17,Rich,Korach,Rich Korach,-3.52,56,$13.00,,,,,,
18,17,Daniel,Humphreys,Daniel Humphreys,-2.98,56,$6.00,,,,,,
19,17,Josh,Schmidt,Josh Schmidt,-1.40,56,,,,,,,
20,17,Wilson,Linker,Wilson Linker,-0.27,56,,,,,,,
21,17,Derek,Phelan,Derek Phelan,0.04,56,,,,,,,
22,22,Glenn,Murray,Glenn Murray,-3.51,57,$12.00,,,,,,
23,22,Brett,Allen,Brett Allen,-2.97,57,$5.00,,,,,,
24,22,Andy,Rothschild,Andy Rothschild,-2.52,57,,,,,,,
25,22,Mike,Hudson,Mike Hudson,-1.39,57,,,,,,,
26,22,Luke,Walton,Luke Walton,0.09,57,,,,,,,
27,22,Marco,Benites,Marco Benites,0.50,57,,,,,,,
28,22,Eric,Leaf,Eric Leaf,0.68,57,,,,,,,
29,22,Vince,Mardigras,Vince Mardigras,0.95,57,,,,,,,
30,30,Erik,Rommz,Erik Rommz,-3.00,58,$8.00,,,,,,
31,30,Chris,Tirrell,Chris Tirrell,-0.62,58,,,,,,,
32,30,Chris,Isom,Chris Isom,0.56,58,,,,,,,
33,30,Trevor,Duckworth,Trevor Duckworth,1.10,58,,,,,,,
34,30,Doug,Mitchell,Doug Mitchell,2.54,58,,,,,,,
35,35,David,Falzone,David Falzone,-1.51,59,,,,,,,
36,35,Aaron,Sorber,Aaron Sorber,-1.25,59,,,,,,,
37,35,Simon,Crosby,Simon Crosby,-0.47,59,,,,,,,
38,35,Sean,Saxton,Sean Saxton,1.02,59,,,,,,,
39,35,Andy,Hale,Andy Hale,2.23,59,,,,,,,
40,40,Mick,Coronel,Mick Coronel,0.62,60,,,,,,,
41,40,Mario,Avila,Mario Avila,0.71,60,,,,,,,
42,40,Steven,P.,Steven P.,0.94,60,,,,,,,
43,40,Daniel,Charlip-Blumlein,Daniel Charlip-Blumlein,1.12,60,,,,,,,
44,40,Luiz,Celeste,Luiz Celeste,2.47,60,,,,,,,
45,40,Nathan,La Chance,Nathan La Chance,4.54,60,,,,,,,
46,40,Joe,Kestler,Joe Kestler,4.72,60,,,,,,,
47,47,Kevin,Smeds,Kevin Smeds,-1.08,61,,,,,,,
48,47,Mike,Mardigras,Mike Mardigras,0.10,61,,,,,,,
49,47,Shawn,Mercy,Shawn Mercy,4.86,61,,,,,,,
50,47,Will,Borger,Will Borger,4.91,61,,,,,,,
51,51,Scott,Maxey,Scott Maxey,-5.70,62,$48.00,,,,,,
52,51,Tom,Murtiashaw,Tom Murtiashaw,-1.93,62,,,,,,,
53,51,Alan,Chambless,Alan Chambless,-1.93,62,,,,,,,
54,51,Sylvain,Pelletier,Sylvain Pelletier,0.21,62,,,,,,,
55,51,Roth,Roeun,Roth Roeun,0.51,62,,,,,,,
56,51,Daniel,Dodell,Daniel Dodell,0.96,62,,,,,,,
57,51,Dave,McGrath,Dave McGrath,2.13,62,,,,,,,
58,51,Niel,Jones,Niel Jones,2.22,62,,,,,,,
59,51,Chris,Johengen,Chris Johengen,4.15,62,,,,,,,
60,60,Mike,Gilman,Mike Gilman,-5.47,63,$33.00,,,,,,
61,60,Angel,Diaz,Angel Diaz,2.00,63,,,,,,,
62,60,Edward,Bigarani,Edward Bigarani,3.53,63,,,,,,,
63,60,Bryan,Schmitz,Bryan Schmitz,3.80,63,,,,,,,
64,60,Anthony,Jaussaud,Anthony Jaussaud,5.60,63,,,,,,,
65,65,Daniel,Tarango,Daniel Tarango,0.71,64,,,,,,,
66,65,Scott,McClellan,Scott McClellan,2.69,64,,,,,,,
