,,,,name,,,,
Marcus Volhontseff,5, 3.44 ,,,,,,
Kyle Orndorff,11, 3.43 ,,,,,,
Nick Arnett,10, 3.43 ,,,,,,
Brett Buntjer,7, 3.40 ,,,,,,
Peter Schaefer,31, 3.33 ,,,,,,
Lance Landgren,5, 3.30 ,,,,,,
Tracy Crowder,3, 3.30 ,,,,,,
Brandon Lohmann,6, 3.30 ,,,,,,
Alan Owings,35, 3.29 ,,,,,,
David Falzone,83, 3.29 ,,,,,,
David Haning,37, 3.29 ,,,,,,
Oren Bame,20, 3.29 ,,,,,,
Michael Lambert,12, 3.25 ,,,,,,
Jonah Schmidt,54, 3.24 ,,,,,,
Rob Levander,69, 3.20 ,,,,,,
Erik Lukehart,9, 3.08 ,,,,,,
Eric Leaf,168, 3.06 ,,,,,,
Foulad Albadeh,147, 3.06 ,,,,,,
Derek Phelan,106, 3.02 ,,,,,,
V Allario,13, 3.00 ,,,,,,
James Graves,15, 2.97 ,,,,,,
Mark Pelzner,42, 2.97 ,,,,,,
Paul Bucari,31, 2.97 ,,,,,,
Phelix Roby,13, 2.95 ,,,,,,
James Thomas,4, 2.93 ,,,,,,
Bob Wigersma,245, 2.93 ,,,,,,
Kenny Holowatch,7, 2.90 ,,,,,,
Michael Lopez,20, 2.88 ,,,,,,
Jesse Hast,105, 2.84 ,,,,,,
Josh Yocum,15, 2.84 ,,,,,,
Patrick Wood,148, 2.84 ,,,,,,
Jonathan Owen,12, 2.80 ,,,,,,
Steven Hines,28, 2.79 ,,,,,,
Travis Simpson,27, 2.79 ,,,,,,
Jason Barr,9, 2.75 ,,,,,,
Garrett Freberg,5, 2.75 ,,,,,,
Kevin Smeds,219, 2.75 ,,,,,,
David Idell,10, 2.71 ,,,,,,
Max Rosen,50, 2.70 ,,,,,,
Andrew Dickey,20, 2.66 ,,,,,,
Eldridge Manchester,16, 2.66 ,,,,,,
Joel Tondreau,153, 2.66 ,,,,,,
Jon Toby,273, 2.66 ,,,,,,
Pete D'Agostino,24, 2.66 ,,,,,,
Don Pierotti,101, 2.61 ,,,,,,
Ernie Rogers,60, 2.61 ,,,,,,
William Matheny IV,48, 2.61 ,,,,,,
Derek Meyers,25, 2.61 ,,,,,,
Adam Quinn,4, 2.57 ,,,,,,
Terry Woods,3, 2.57 ,,,,,,
Roger Crain,51, 2.57 ,,,,,,
Doug Perlich,21, 2.52 ,,,,,,
Mikey Vaca,13, 2.50 ,,,,,,
Bryan Coggins,26, 2.48 ,,,,,,
Greywing Cooper,11, 2.48 ,,,,,,
Matt Roulette,5, 2.48 ,,,,,,
Jake Schultz,12, 2.45 ,,,,,,
Bill Emmack,178, 2.43 ,,,,,,
Khyber Easton,30, 2.43 ,,,,,,
Bobby Hoellwarth,39, 2.39 ,,,,,,
James Schindler,26, 2.34 ,,,,,,
Nick Guinness,9, 2.33 ,,,,,,
Beau Griffin,13, 2.30 ,,,,,,
Life Gibson,149, 2.30 ,,,,,,
Ari Freedman,32, 2.30 ,,,,,,
Mike Nejad,124, 2.25 ,,,,,,
Bob Diamond,3, 2.20 ,,,,,,
Mike Castillo,3, 2.20 ,,,,,,
Michael Courvoisier,7, 2.20 ,,,,,,
Brian Doris,7, 2.20 ,,,,,,
Eric Forsberg,18, 2.16 ,,,,,,
Glenn Murray,109, 2.12 ,,,,,,
Kale Jessen,14, 2.12 ,,,,,,
Marco Benites,32, 2.07 ,,,,,,
Jon Siegfried,4, 2.02 ,,,,,,
Ron Brown,7, 2.00 ,,,,,,
Trevor Duckworth,9, 2.00 ,,,,,,
Walter Vanderschraaf,10, 2.00 ,,,,,,
Daver Hamilton,9, 2.00 ,,,,,,
Rygel Leone,18, 1.94 ,,,,,,
Joe Moore,20, 1.89 ,,,,,,
Nick Norena,19, 1.89 ,,,,,,
Anni Kreml,10, 1.86 ,,,,,,
Brandon Nash,30, 1.85 ,,,,,,
Matthew Christie,3, 1.83 ,,,,,,
Brad Cink,3, 1.83 ,,,,,,
Harper Alexander,35, 1.80 ,,,,,,
Matt Friesen,31, 1.71 ,,,,,,
Mike Degnan,26, 1.67 ,,,,,,
Brant Willis,4, 1.65 ,,,,,,
Anne Kreml,3, 1.65 ,,,,,,
Carl Miller,64, 1.62 ,,,,,,
Jonny Blank,80, 1.62 ,,,,,,
Drew Stancliffe,20, 1.62 ,,,,,,
Anthony Jaussaud,14, 1.58 ,,,,,,
Chris Albright,33, 1.58 ,,,,,,
Greg Randolph,36, 1.58 ,,,,,,
Mark Rozansky,91, 1.58 ,,,,,,
Filipe Wong,18, 1.58 ,,,,,,
Evan Scher,33, 1.53 ,,,,,,
Colin Sanders,170, 1.49 ,,,,,,
Curtis Bauer,4, 1.47 ,,,,,,
Ben Youngerman,15, 1.44 ,,,,,,
Patrick Smith,26, 1.44 ,,,,,,
SunRay Hawk,38, 1.44 ,,,,,,
Josh Hessler,26, 1.44 ,,,,,,
Nathan Price,6, 1.40 ,,,,,,
Chris Hart,48, 1.40 ,,,,,,
Dave Signorotti,5, 1.38 ,,,,,,
Aaron Durand,15, 1.35 ,,,,,,
Mike Epple,17, 1.35 ,,,,,,
Niel Jones,209, 1.35 ,,,,,,
Jay Grenfell,17, 1.31 ,,,,,,
Chris Morris,18, 1.26 ,,,,,,
Rob Sindelar,58, 1.26 ,,,,,,
Scott Shanbron,8, 1.25 ,,,,,,
Brad Hoover,68, 1.22 ,,,,,,
Matt Barclay,189, 1.22 ,,,,,,
Jeremiah Steinberg,177, 1.17 ,,,,,,
Kellen Martin,48, 1.17 ,,,,,,
Mike Loftin,8, 1.17 ,,,,,,
Nate Clarke,12, 1.15 ,,,,,,
