Place,Rank,First,Last,Full Name,Adjust,Score,Money,,Median,64.0,,,
1,1,Brandon,Lohmann,Brandon Lohmann,-5.87,53,$41.00,,,,,,
2,1,Dennis,Warsen,Dennis Warsen,-4.70,53,$18.00,,,,,,
3,3,Ben,Fox,Ben Fox,-5.05,54,$26.00,,,,,,
4,4,Kris,Mickelson,Kris Mickelson,-4.19,55,$11.00,,,,,,
5,4,Harper,Alexander,Harper Alexander,-1.76,55,,,,,,,
6,4,Jesse,Kerfeld,Jesse Kerfeld,-0.67,55,,,,,,,
7,7,Bryan,Schmitz,Bryan Schmitz,-4.42,57,$13.00,,,,,,
8,8,Derek,Phelan,Derek Phelan,-0.38,58,,,,,,,
9,9,Kevin,Eckert,Kevin Eckert,0.68,60,,,,,,,
10,10,Jon,Toby,Jon Toby,-1.79,61,,,,,,,
11,10,Niel,Jones,Niel Jones,-0.84,61,,,,,,,
12,10,Chris,Butterworth,Chris Butterworth,0.15,61,,,,,,,
13,13,Keek,Solorio,Keek Solorio,3.40,62,,,,,,,
14,13,Joe,Dannels,Joe Dannels,4.75,62,,,,,,,
15,15,Dan,Harris,Dan Harris,-3.22,63,$6.00,,,,,,
16,15,Mitchell,Grummon,Mitchell Grummon,-0.08,63,,,,,,,
17,17,Brandon,Saker,Brandon Saker,-3.87,64,$8.00,,,,,,
18,17,Daniel,Humphreys,Daniel Humphreys,1.60,64,,,,,,,
19,17,Chris,Isom,Chris Isom,3.92,64,,,,,,,
20,20,Alan,Chambless,Alan Chambless,-3.05,65,,,,,,,
21,20,Daniel,Dodell,Daniel Dodell,0.01,65,,,,,,,
22,20,Dave,McGrath,Dave McGrath,1.14,65,,,,,,,
23,23,Jake,Ward,Jake Ward,0.92,66,,,,,,,
24,24,Dave,Van Dollen,Dave Van Dollen,0.60,67,,,,,,,
25,24,Tim,Deweerd,Tim Deweerd,2.19,67,,,,,,,
26,26,Dan,Goodman,Dan Goodman,-2.30,68,,,,,,,
27,27,Aaron,Jacks,Aaron Jacks,-1.29,70,,,,,,,
28,27,Nellio,Fontes,Nellio Fontes,2.81,70,,,,,,,
29,27,Angel,Diaz,Angel Diaz,6.18,70,,,,,,,
30,30,Steven,Cole,Steven Cole,3.90,71,,,,,,,
31,31,Albert,Sandoval,Albert Sandoval,3.80,79,,,,,,,
32,32,Hugh,Harrell,Hugh Harrell,11.22,83,,,,,,,
33,33,Andrew,Stockdale,Andrew Stockdale,,90,,,,,,,
34,34,,, ,,,,,,,,,
35,34,,, ,,,,,,,,,
36,34,,, ,,,,,,,,,
37,34,,, ,,,,,,,,,
38,34,,, ,,,,,,,,,
39,34,,, ,,,,,,,,,
40,34,,, ,,,,,,,,,
41,34,,, ,,,,,,,,,
42,34,,, ,,,,,,,,,
43,34,,, ,,,,,,,,,
44,34,,, ,,,,,,,,,
45,34,,, ,,,,,,,,,
46,34,,, ,,,,,,,,,
47,34,,, ,,,,,,,,,
48,34,,, ,,,,,,,,,
49,34,,, ,,,,,,,,,
50,34,,, ,,,,,,,,,
51,34,,, ,,,,,,,,,
52,34,,, ,,,,,,,,,
53,34,,, ,,,,,,,,,
54,34,,, ,,,,,,,,,
55,34,,, ,,,,,,,,,
56,34,,, ,,,,,,,,,
57,34,,, ,,,,,,,,,
58,34,,, ,,,,,,,,,
59,34,,, ,,,,,,,,,
60,34,,, ,,,,,,,,,
61,34,,, ,,,,,,,,,
62,34,,, ,,,,,,,,,
63,34,,, ,,,,,,,,,
64,34,,, ,,,,,,,,,
65,34,,, ,,,,,,,,,
66,34,,, ,,,,,,,,,
67,34,,, ,,,,,,,,,
68,34,,, ,,,,,,,,,
69,34,,, ,,,,,,,,,
70,34,,, ,,,,,,,,,
71,34,,, ,,,,,,,,,
72,34,,, ,,,,,,,,,
73,34,,, ,,,,,,,,,
74,34,,, ,,,,,,,,,
75,34,,, ,,,,,,,,,
76,34,,, ,,,,,,,,,
77,34,,, ,,,,,,,,,
78,34,,, ,,,,,,,,,
79,34,,, ,,,,,,,,,
80,34,,, ,,,,,,,,,
81,34,,, ,,,,,,,,,
82,34,,, ,,,,,,,,,
83,34,,, ,,,,,,,,,
84,34,,, ,,,,,,,,,
85,34,,, ,,,,,,,,,
86,34,,, ,,,,,,,,,
87,34,,, ,,,,,,,,,
88,34,,, ,,,,,,,,,
89,34,,, ,,,,,,,,,
90,34,,, ,,,,,,,,,
91,34,,, ,,,,,,,,,
92,34,,, ,,,,,,,,,
93,34,,, ,,,,,,,,,
94,34,,, ,,,,,,,,,
95,34,,, ,,,,,,,,,
96,34,,, ,,,,,,,,,
97,34,,, ,,,,,,,,,
98,34,,, ,,,,,,,,,
99,34,,, ,,,,,,,,,
100,34,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
