Place,Rank,First,Last,Full Name,Adjust,Score,Money,,Median,58.0,,,
1,1,Danny,Kerfeld,Danny Kerfeld,-0.32,49,5,,,,,,
2,2,Luke,Walton,Luke Walton,-3.59,50,$32.00,,,,,,
3,2,Marquis,Oliver,Marquis Oliver,-2.06,50,$12.00,,,,,,
4,2,"Scott ""Bizzle""",Badovick,"Scott ""Bizzle"" Badovick",-1.07,50,$5.00,,,,,,
5,2,Juan,Bernal,Juan Bernal,-0.85,50,,,,,,,
6,6,Eric,Leaf,Eric Leaf,-3.81,51,$46.00,,,,,,
7,6,Jacob,Sanderson,Jacob Sanderson,-0.57,51,,,,,,,
8,8,Simon,Crosby,Simon Crosby,-5.19,52,$68.00,,,,,,
9,8,Chris,Vanleemput,Chris Vanleemput,-3.12,52,$23.00,,,,,,
10,8,Matt,Angel,Matt Angel,-0.01,52,,,,,,,
11,8,Travis,Callahan,Travis Callahan,0.17,52,,,,,,,
12,8,Jerry,Showman,Jerry Showman,2.55,52,,,,,,,
13,13,Christian,Plevin,Christian Plevin,-6.08,53,$96.00,,,,,,
14,13,Niel,Jones,Niel Jones,-3.07,53,$19.00,,,,,,
15,13,Matt,Neiman,Matt Neiman,0.81,53,,,,,,,
16,13,Marquis,Mallen,Marquis Mallen,,53,,,,,,,
17,17,Vince,Mardigras,Vince Mardigras,0.37,54,,,,,,,
18,17,Keek,Solorio,Keek Solorio,1.31,54,,,,,,,
19,17,Dennis,Warsen,Dennis Warsen,1.67,54,,,,,,,
20,17,Derek,Phelan,Derek Phelan,2.17,54,,,,,,,
21,17,Shawn,Mercy,Shawn Mercy,2.30,54,,,,,,,
22,17,Todd,Kurnat,Todd Kurnat,2.66,54,,,,,,,
23,17,Cory,Murrell,Cory Murrell,3.07,54,,,,,,,
24,17,Jesse,Kerfeld,Jesse Kerfeld,5.09,54,,,,,,,
25,25,Aaron,Sorber,Aaron Sorber,-3.00,55,$16.00,,,,,,
26,25,Patrick,Humphreys,Patrick Humphreys,-0.26,55,,,,,,,
27,25,Eldridge,Manchester,Eldridge Manchester,0.47,55,,,,,,,
28,25,Mike,Figueroa,Mike Figueroa,1.91,55,,,,,,,
29,25,Marco,Benites,Marco Benites,2.58,55,,,,,,,
30,25,Harper,Alexander,Harper Alexander,5.15,55,,,,,,,
31,31,Luis,Ortiz,Luis Ortiz,-2.90,56,$13.00,,,,,,
32,31,Life,Gibson,Life Gibson,0.12,56,,,,,,,
33,31,Chris,Isom,Chris Isom,1.65,56,,,,,,,
34,31,Luiz,Celeste,Luiz Celeste,1.92,56,,,,,,,
35,31,Andy,Hale,Andy Hale,2.46,56,,,,,,,
36,36,Bob,Wigersma,Bob Wigersma,-0.01,57,,,,,,,
37,36,Dan,Santini,Dan Santini,1.84,57,,,,,,,
38,36,Chris,Johengen,Chris Johengen,2.24,57,,,,,,,
39,36,Chris,Tirrell,Chris Tirrell,2.56,57,,,,,,,
40,36,Vince,Cervantes,Vince Cervantes,3.10,57,,,,,,,
41,36,Adam,Viele,Adam Viele,3.82,57,,,,,,,
42,36,Dave,Burnham,Dave Burnham,6.38,57,,,,,,,
43,43,Daniel,Dodell,Daniel Dodell,-1.31,58,$6.00,,,,,,
44,43,Angel,Diaz,Angel Diaz,-0.81,58,,,,,,,
45,43,Matt,Duncanson,Matt Duncanson,0.23,58,,,,,,,
46,43,Josh,Babiak,Josh Babiak,0.54,58,,,,,,,
47,43,Mike,Degnan,Mike Degnan,2.21,58,,,,,,,
48,43,John,Drago,John Drago,2.61,58,,,,,,,
49,43,Joe,Kestler,Joe Kestler,5.13,58,,,,,,,
50,50,Joe,Donahue,Joe Donahue,0.12,59,,,,,,,
51,50,Juni,Martins,Juni Martins,0.90,59,,,,,,,
52,50,Glenn,Murray,Glenn Murray,2.22,59,,,,,,,
53,50,Bill,Shea,Bill Shea,2.50,59,,,,,,,
54,50,Adriano,Rothschild,Adriano Rothschild,3.30,59,,,,,,,
55,50,Kevin,Eckert,Kevin Eckert,5.95,59,,,,,,,
56,50,Ryan,Santos,Ryan Santos,,59,,,,,,,
57,57,Nellio,Fontes,Nellio Fontes,-1.06,60,,,,,,,
58,57,Dale,Ferreira,Dale Ferreira,1.27,60,,,,,,,
59,57,Andy,Rothschild,Andy Rothschild,2.68,60,,,,,,,
60,57,Brett,Allen,Brett Allen,2.75,60,,,,,,,
61,57,Josh,Schmidt,Josh Schmidt,4.57,60,,,,,,,
62,57,Dan,Harris,Dan Harris,,60,,,,,,,
63,63,Scooter,Wilson,Scooter Wilson,-1.91,61,$10.00,,,,,,
64,63,Jake,Ward,Jake Ward,3.72,61,,,,,,,
65,63,Nate,Stone,Nate Stone,4.49,61,,,,,,,
66,63,Matt,Brenner,Matt Brenner,6.20,61,,,,,,,
67,63,Bob,McGarity,Bob McGarity,6.69,61,,,,,,,
68,68,Erica,Norton,Erica Norton,-0.37,62,,,,,,,
69,68,Daniel,Tarango,Daniel Tarango,0.27,62,,,,,,,
70,68,Alex,Georgopoulos,Alex Georgopoulos,1.17,62,,,,,,,
71,68,Sabas,Gonzalez,Sabas Gonzalez,1.39,62,,,,,,,
72,68,Candace,Romaine,Candace Romaine,1.48,62,,,,,,,
73,68,Scott,McClellan,Scott McClellan,2.88,62,,,,,,,
74,74,Joe,Canose,Joe Canose,0.67,63,,,,,,,
75,74,Sean,Pierson,Sean Pierson,4.96,63,,,,,,,
76,74,Jason,Tindell,Jason Tindell,5.36,63,,,,,,,
77,74,Daniel,Charlip-Blumlein,Daniel Charlip-Blumlein,6.94,63,,,,,,,
78,78,Hugh,Harrell,Hugh Harrell,-1.61,64,$8.00,,,,,,
79,78,Craig,Bostwick,Craig Bostwick,-0.21,64,,,,,,,
80,78,Alan,Chambless,Alan Chambless,2.94,64,,,,,,,
81,78,Ron,Schreier,Ron Schreier,6.05,64,,,,,,,
82,78,Joe,Frediani,Joe Frediani,6.18,64,,,,,,,
83,78,Brent,Allard,Brent Allard,9.60,64,,,,,,,
84,78,Nick,Klein,Nick Klein,,64,,,,,,,
85,85,Samuel,Jung,Samuel Jung,3.07,65,,,,,,,
86,85,Anthony,Nicolay,Anthony Nicolay,,65,,,,,,,
87,87,Brant,Willis,Brant Willis,9.93,67,,,,,,,
88,87,Mike,Hudson,Mike Hudson,12.06,67,,,,,,,
89,89,Steven,Cole,Steven Cole,6.90,68,,,,,,,
90,89,Randy,Waters,Randy Waters,,68,,,,,,,
91,91,Daniel,Moroney,Daniel Moroney,6.24,70,,,,,,,
92,91,Dave,Van Dollen,Dave Van Dollen,9.03,70,,,,,,,
93,91,Andy,Martilla,Andy Martilla,,70,,,,,,,
94,94,Ron,Hanhy,Ron Hanhy,5.44,71,,,,,,,
95,95,,, ,,,,,,,,,
96,95,,, ,,,,,,,,,
97,95,,, ,,,,,,,,,
98,95,,, ,,,,,,,,,
99,95,,, ,,,,,,,,,
100,95,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
