**** Logging started on 30-Jul-19 11:48:11 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
30-Jul-19,13:24:22,0,0,0,0.4
**********************************************,,,,,
**** Logging started on 30-Jul-19 13:26:26 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
30-Jul-19,13:27:26,4.9,0,5.6,2.2
30-Jul-19,13:28:26,6.5,0,8.5,4.4
30-Jul-19,13:29:26,0,0,6.1,3.7
30-Jul-19,13:29:46,1.3,0,1.3,2.2
**********************************************,,,,,
**** Logging started on 30-Jul-19 13:31:15 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
30-Jul-19,13:32:15,1.3,0,2.4,0.1
30-Jul-19,13:33:15,2.7,0,6.7,2.1
30-Jul-19,13:34:15,5.5,0,5.5,2.1
30-Jul-19,13:35:15,1.6,0,7.6,3.6
30-Jul-19,13:36:15,5,0,6.5,2.4
30-Jul-19,13:37:15,3.7,2.7,7.6,5.1
30-Jul-19,13:38:15,1.9,0,7.7,4.3
30-Jul-19,13:39:15,0,0,3,1
30-Jul-19,13:40:15,0,0,2.3,0.1
30-Jul-19,13:41:15,2.2,0,9.4,3.8
30-Jul-19,13:42:15,0,0,4.5,2.8
30-Jul-19,13:43:15,0,0,6.3,3
30-Jul-19,13:44:15,4,0,7.1,3.9
30-Jul-19,13:45:15,1.7,0,5,2.2
30-Jul-19,13:46:15,0,0,4.2,1.8
30-Jul-19,13:46:27,1.6,0,2.8,1.9
**********************************************,,,,,
**** Logging started on 30-Jul-19 13:48:05 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
30-Jul-19,13:49:05,5.4,0,6.5,2.5
30-Jul-19,13:50:05,0,0,6.1,3.4
30-Jul-19,13:51:05,1.6,0,3.9,1.7
30-Jul-19,13:52:05,0,0,3.9,2
30-Jul-19,13:53:05,0,0,3.6,1.9
30-Jul-19,13:54:05,0,0,3.5,0.8
30-Jul-19,13:55:04,1.7,0,3.7,1.2
**********************************************,,,,,
**** Logging started on 30-Jul-19 13:57:11 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
30-Jul-19,13:58:11,0,0,4.5,2
30-Jul-19,13:59:11,0,0,6.7,2.4
30-Jul-19,14:00:11,3.7,0,3.7,1.3
30-Jul-19,14:00:46,4.6,0,4.6,1.9
**********************************************,,,,,
**** Logging started on 30-Jul-19 14:02:05 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
30-Jul-19,14:03:05,2.5,0,2.5,1
30-Jul-19,14:04:05,0,0,4,1.6
30-Jul-19,14:05:05,0,0,0,0
30-Jul-19,14:06:05,2.1,0,3.3,1
30-Jul-19,14:06:27,0,0,2.1,1.1
**********************************************,,,,,
**** Logging started on 30-Jul-19 14:07:13 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
30-Jul-19,14:08:13,0,0,2.3,0.6
30-Jul-19,14:09:13,2.4,0,2.8,0.7
30-Jul-19,14:10:14,0,0,3.3,0.8
30-Jul-19,14:11:13,4.5,0,4.6,1.1
30-Jul-19,14:12:14,0,0,4.6,1.8
30-Jul-19,14:13:14,1.8,0,3.1,1.5
30-Jul-19,14:13:42,1.7,0,2.5,1.5
**********************************************,,,,,
