,T_coeff,course_id,cumgame_coeff,dirvar_coeff,gustvar_coeff,intercept,mse,n_value,nomatch,player,precip_coeff,prediction_score,u_coeff,uv_var_coeff,v_coeff,wdir_coeff,wgust_coeff,wspd_coeff
63,,0,,,,,,,1.0,Kevin Couch,,,,,,,,
64,,1,,,,,,,1.0,Kevin Couch,,,,,,,,
65,0.0,2,-0.2872399400539738,-0.0,0.0,52.166666666666664,10.654003921525574,24.0,,Kevin Couch,0.0,0.08462018812668115,0.0,-0.0,0.0,0.18215532094888168,-0.0,-0.0
66,,0,,,,,,,1.0,Scott Riley,,,,,,,,
67,,1,,,,,,,1.0,Scott Riley,,,,,,,,
68,-0.0,2,0.0,-0.0,0.0,54.4390243902439,15.735852882027167,41.0,,Scott Riley,0.0,0.0400650059991412,-0.030352170906066206,0.0,-0.05835524021855675,-0.0,0.05977622841487545,0.06200608688083953
69,,0,,,,,,,1.0,Conner Russell,,,,,,,,
70,,1,,,,,,,1.0,Conner Russell,,,,,,,,
71,0.11839728973689959,2,-2.7852372434265575,1.1762728276692687,-0.012567723241964186,65.0,6.084603519416641,22.0,,Conner Russell,0.7466072797340801,0.6362465287305269,0.07380450192961929,-0.7663855560372204,-0.09079307485900627,-0.0,0.5526349796040736,1.0103868518891344
72,,0,,,,,,,1.0,David Falzone,,,,,,,,
73,,1,,,,,,,1.0,David Falzone,,,,,,,,
74,,2,,,,,,,1.0,David Falzone,,,,,,,,
75,,0,,,,,,,1.0,Jeff Fiedler,,,,,,,,
76,,1,,,,,,,1.0,Jeff Fiedler,,,,,,,,
77,-0.0,2,-0.0,0.0,-0.0,53.86666666666667,10.315555555555557,30.0,,Jeff Fiedler,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
78,,0,,,,,,,1.0,Joe Wharton,,,,,,,,
79,,1,,,,,,,1.0,Joe Wharton,,,,,,,,
80,-0.0,2,0.0,0.0,-0.0,56.63333333333333,7.765555555555556,30.0,,Joe Wharton,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
81,,0,,,,,,,1.0,Ari Freedman,,,,,,,,
82,,1,,,,,,,1.0,Ari Freedman,,,,,,,,
