,T_coeff,course_id,cumgame_coeff,dirvar_coeff,gustvar_coeff,intercept,mse,n_value,nomatch,player,precip_coeff,prediction_score,u_coeff,uv_var_coeff,v_coeff,wgust_coeff,wspd_coeff
58,,1,,,,,,,1.0,Case Conover,,,,,,,
59,0.11190659738559187,2,-0.6224921004583296,-0.02289330712380508,0.0,56.526315789473685,7.181955800426634,57.0,,Case Conover,-0.0,0.18160162753976805,-0.0,-0.03607206435975449,-0.0,0.5298128530076055,0.15189045969336223
60,,0,,,,,,,1.0,David Welty,,,,,,,
61,,1,,,,,,,1.0,David Welty,,,,,,,
62,,2,,,,,,,1.0,David Welty,,,,,,,
63,,0,,,,,,,1.0,Kevin Couch,,,,,,,
64,,1,,,,,,,1.0,Kevin Couch,,,,,,,
65,0.0,2,-0.25209188658344023,-0.0,0.0,52.166666666666664,10.854677412577098,24.0,,Kevin Couch,0.0,0.06737855166402029,-0.0,-0.0,0.1218118661176588,0.0,-0.0
66,,0,,,,,,,1.0,Scott Riley,,,,,,,
67,,1,,,,,,,1.0,Scott Riley,,,,,,,
68,-0.0,2,0.0,-0.0,0.0,54.4390243902439,15.735852882027167,41.0,,Scott Riley,0.0,0.0400650059991412,-0.030352170906066206,0.0,-0.05835524021855675,0.05977622841487545,0.06200608688083953
69,,0,,,,,,,1.0,Conner Russell,,,,,,,
70,,1,,,,,,,1.0,Conner Russell,,,,,,,
71,0.16854780694100077,2,-2.924418148041561,1.286255614577217,-0.019890597833105653,65.0,5.85553306680743,22.0,,Conner Russell,0.8323186314699587,0.6499409579625993,0.082923793197837,-0.8289848417625797,-0.11016354370212825,0.5031247846586936,1.1239285723258925
72,,0,,,,,,,1.0,David Falzone,,,,,,,
73,,1,,,,,,,1.0,David Falzone,,,,,,,
74,,2,,,,,,,1.0,David Falzone,,,,,,,
75,,0,,,,,,,1.0,Jeff Fiedler,,,,,,,
76,,1,,,,,,,1.0,Jeff Fiedler,,,,,,,
77,-0.0,2,-0.0,0.0,-0.0,53.86666666666667,10.315555555555557,30.0,,Jeff Fiedler,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
78,,0,,,,,,,1.0,Joe Wharton,,,,,,,
79,,1,,,,,,,1.0,Joe Wharton,,,,,,,
80,-0.0,2,0.0,0.0,-0.0,56.63333333333333,7.765555555555556,30.0,,Joe Wharton,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
81,,0,,,,,,,1.0,Ari Freedman,,,,,,,
82,,1,,,,,,,1.0,Ari Freedman,,,,,,,
83,-0.0024256036965660745,2,0.46090809048794545,-0.40924908954523925,-0.0,58.64,10.7851989902602,25.0,,Ari Freedman,0.11298348841918009,0.22018170188424036,-0.0,-0.18710207958278008,-0.21815593623721938,0.2002096366098452,0.1402844302113459
84,,0,,,,,,,1.0,Peter Sontag,,,,,,,
85,,1,,,,,,,1.0,Peter Sontag,,,,,,,
86,-0.7882471640786916,2,0.402361371984174,-0.0,0.0,52.3125,5.329915985519113,16.0,,Peter Sontag,0.0,0.7244074949923465,-1.0768311475717296,0.17242039400052805,0.0,0.9960670934597317,0.9773942415909319
87,,0,,,,,,,1.0,AJ Jaussaud,,,,,,,
88,,1,,,,,,,1.0,AJ Jaussaud,,,,,,,
89,,2,,,,,,,1.0,AJ Jaussaud,,,,,,,
90,,0,,,,,,,1.0,Aaron Hesterman,,,,,,,
91,,1,,,,,,,1.0,Aaron Hesterman,,,,,,,
92,,2,,,,,,,1.0,Aaron Hesterman,,,,,,,
93,,0,,,,,,,1.0,Aaron Kirby,,,,,,,
94,,1,,,,,,,1.0,Aaron Kirby,,,,,,,
95,,2,,,,,,,1.0,Aaron Kirby,,,,,,,
96,,0,,,,,,,1.0,Andy Sommers,,,,,,,
97,,1,,,,,,,1.0,Andy Sommers,,,,,,,
98,,2,,,,,,,1.0,Andy Sommers,,,,,,,
99,,0,,,,,,,1.0,Bob McGarity,,,,,,,
100,,1,,,,,,,1.0,Bob McGarity,,,,,,,
101,,2,,,,,,,1.0,Bob McGarity,,,,,,,
102,,0,,,,,,,1.0,Bryan Hesterman,,,,,,,
103,,1,,,,,,,1.0,Bryan Hesterman,,,,,,,
104,,2,,,,,,,1.0,Bryan Hesterman,,,,,,,
105,,0,,,,,,,1.0,Chad Inman,,,,,,,
106,,1,,,,,,,1.0,Chad Inman,,,,,,,
107,,2,,,,,,,1.0,Chad Inman,,,,,,,
108,,0,,,,,,,1.0,Chris Basuino,,,,,,,
109,,1,,,,,,,1.0,Chris Basuino,,,,,,,
110,,2,,,,,,,1.0,Chris Basuino,,,,,,,
