,T_coeff,course_id,cumgame_coeff,dirvar_coeff,intercept,mse,n_value,nomatch,player,precip_coeff,prediction_score,wgust_coeff,wspd_coeff
86,-0.7980117783762218,2,0.5052283978012361,-0.1253433985842949,52.3125,5.913961819669884,16.0,,Peter Sontag,0.0,0.6942083971247242,1.1852094657111611,1.5042134926033506
87,,0,,,,,,1.0,AJ Jaussaud,,,,
88,,1,,,,,,1.0,AJ Jaussaud,,,,
89,0.5035991147973368,2,-1.215337916239912,-0.9678772387132313,56.18181818181818,10.482133825987242,11.0,,AJ Jaussaud,0.0,0.49788670113046074,0.795019811802489,0.5665001329730492
90,,0,,,,,,1.0,Aaron Hesterman,,,,
91,,1,,,,,,1.0,Aaron Hesterman,,,,
92,,2,,,,,,1.0,Aaron Hesterman,,,,
93,,0,,,,,,1.0,Aaron Kirby,,,,
94,,1,,,,,,1.0,Aaron Kirby,,,,
95,-1.3809114453731313,2,0.0,-0.0,64.875,20.03352992493234,8.0,,Aaron Kirby,0.0,0.46376164149072785,3.1219163593901804,-0.0
96,,0,,,,,,1.0,Andy Sommers,,,,
97,,1,,,,,,1.0,Andy Sommers,,,,
98,,2,,,,,,1.0,Andy Sommers,,,,
99,,0,,,,,,1.0,Bob McGarity,,,,
100,-0.0,1,-1.9587260445566162e-17,0.0,55.45454545454545,9.884297520661157,11.0,,Bob McGarity,-0.0,0.0,0.0,-0.0
101,-1.1289714268056203,2,-1.5292410411494177,-1.02295245031862,58.81818181818182,11.57305011611324,11.0,,Bob McGarity,0.0,0.4150630475982865,-0.08874109150261864,0.03191641615838344
102,,0,,,,,,1.0,Bryan Hesterman,,,,
103,,1,,,,,,1.0,Bryan Hesterman,,,,
104,,2,,,,,,1.0,Bryan Hesterman,,,,
105,,0,,,,,,1.0,Chad Inman,,,,
106,,1,,,,,,1.0,Chad Inman,,,,
107,,2,,,,,,1.0,Chad Inman,,,,
108,,0,,,,,,1.0,Chris Basuino,,,,
109,,1,,,,,,1.0,Chris Basuino,,,,
110,,2,,,,,,1.0,Chris Basuino,,,,
111,-0.16658808347722498,0,1.545293306903528,-0.0,55.57142857142857,5.761863240708486,14.0,,Chris Isom,1.376508043933778,0.6073278180880171,0.018538410048736336,0.1879286247763698
112,,1,,,,,,1.0,Chris Isom,,,,
113,,2,,,,,,1.0,Chris Isom,,,,
114,,0,,,,,,1.0,Curtis Bauer,,,,
115,,1,,,,,,1.0,Curtis Bauer,,,,
116,,2,,,,,,1.0,Curtis Bauer,,,,
117,,0,,,,,,1.0,David Randall,,,,
118,,1,,,,,,1.0,David Randall,,,,
119,,2,,,,,,1.0,David Randall,,,,
120,0.0,0,0.0,0.0,51.583333333333336,8.076388888888891,12.0,,Greg Breazeale,0.0,0.0,0.0,0.0
121,,1,,,,,,1.0,Greg Breazeale,,,,
122,,2,,,,,,1.0,Greg Breazeale,,,,
123,,0,,,,,,1.0,Jaques Duhon,,,,
124,,1,,,,,,1.0,Jaques Duhon,,,,
125,,2,,,,,,1.0,Jaques Duhon,,,,
126,0.0,0,0.0,0.0,56.375,3.4853568215710844,8.0,,Joe Kestler,0.09256304471866812,0.0666826921315925,-0.0,-0.0
127,,1,,,,,,1.0,Joe Kestler,,,,
128,,2,,,,,,1.0,Joe Kestler,,,,
129,-1.2027521002307973,0,1.6342518353439404,1.2282378705950066,55.0,11.048989862348698,12.0,,Matt Neiman,0.5273293393998203,0.6100356519171048,-0.2595777200041162,-0.35729832306197545
130,,1,,,,,,1.0,Matt Neiman,,,,
131,,2,,,,,,1.0,Matt Neiman,,,,
132,,0,,,,,,1.0,Matty Angell,,,,
133,,1,,,,,,1.0,Matty Angell,,,,
