,T_coeff,alpha,course_id,cumgame_coeff,dirvar_coeff,intercept,l1,mse,n_iter,n_values,player,precip_coeff,prediction_score,removed_corr,wgust_coeff,wspd_coeff
33,0.0,0.0,0,0.0,0.0,54.2,0.0,11.7,0.0,0,Scott Badovick,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,1,0.0,0.0,53.666666666666664,0.0,22.333333333333336,0.0,3,Scott Badovick,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,2,0.0,0.0,55.0,0.0,1.1112220782958926,0.0,2,Scott Badovick,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0,0.0,0.0,58.4,0.0,16.299999999999997,0.0,0,Steve Keller,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,1,0.0,0.0,57.666666666666664,0.0,30.333333333333332,0.0,3,Steve Keller,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,2,0.0,0.0,59.5,0.0,1.1112220782958926,0.0,2,Steve Keller,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0,0.0,0.0,55.35,0.0,15.951898734177215,0.0,0,Steve Willis,0.0,0.0,0.0,0.0,0.0
40,0.024724134212686318,4.973061224489796,1,0.0,0.00041822536377468663,53.747625931553294,0.05,9.065943587092521,5.0,8,Steve Willis,0.0,0.21165707938325906,1.0,0.14397183225267093,0.37378467574667085
41,0.0,1.243265306122449,2,0.0,0.00014766222808488568,52.69498825893481,0.05,11.66837273646739,5.0,72,Steve Willis,50.55636134740873,0.2735294453083331,0.0,0.1123054904838913,0.3042830805232659
42,0.0,0.0,0,0.0,0.0,58.0,0.0,37.30478395061729,0.0,0,Tim Smith,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,1,0.0,0.0,58.0,0.0,37.30478395061729,0.0,0,Tim Smith,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,2,0.0,0.0,58.0,0.0,33.77324263038549,0.0,1,Tim Smith,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0,1.1000000000000005,0.0,52.6,0.0,5.175,0.0,4,Toby Parks,0.0,0.22616822429906547,0.0,0.0,0.0
46,0.005631692982277724,1.437142857142857,1,0.0,0.0,52.349514349089624,0.99,8.81391852659817,2.0,14,Toby Parks,0.0,0.011711652624003532,1.0,-0.0,0.0
47,-0.03610060822523084,5.514693877551021,2,0.0,-7.550162122519452e-05,52.70218071697958,0.05,11.331841662864548,5.0,34,Toby Parks,-19.848690627139973,0.09980697070702194,0.0,0.030378484314825125,0.0692133915213493
48,0.14658958647680606,4.117551020408164,0,0.0,0.00018716112995623114,47.959576593411164,0.05,6.741489904875553,5.0,9,Vince Mardigras,24.847995813929145,0.33730499721490315,0.0,-0.042705170320623424,-0.29622138453397107
49,0.0,0.0,1,0.0,0.0,55.333333333333336,0.0,14.242424242424244,0.0,1,Vince Mardigras,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,2,0.0,0.0,57.5,0.0,12.500000000000002,0.0,2,Vince Mardigras,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0,0.0,0.0,54.59574468085106,0.0,17.115633672525444,0.0,0,Will Roller,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,1,0.0,0.0,55.0,0.0,2.0000000000000004,0.0,2,Will Roller,0.0,0.0,0.0,0.0,0.0
53,-0.01287163876991023,1.029387755102041,2,0.0,0.0005012211660684956,52.42913761767186,0.05,14.401341749645619,7.0,45,Will Roller,0.0,0.17442200648192807,1.0,0.15781515326224946,0.27723235538399477
54,0.0,0.0,0,0.0,0.0,60.32142857142857,0.0,10.152116402116402,0.0,0,Anni Kreml,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,1,0.0,0.0,60.32142857142857,0.0,10.152116402116402,0.0,0,Anni Kreml,0.0,0.0,0.0,0.0,0.0
56,-0.0,10.0,2,0.0,-0.0,60.32142857142857,0.2,9.78954081632653,1.0,28,Anni Kreml,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0,0.0,0.0,56.838235294117645,0.0,9.152546093064094,0.0,1,Case Conover,0.0,0.0,0.0,0.0,0.0
58,-0.02927644426650074,1.6410204081632653,1,0.0,0.0,60.75360204949495,0.2,7.159009676403845,7.0,10,Case Conover,0.0,0.08686101066277474,1.0,-0.025570691122058564,-0.20807755699638375
59,0.018309330903934655,1.233265306122449,2,0.0,-0.0004180332347099686,54.241131370597294,0.05,7.879339420185761,6.0,57,Case Conover,1.8739014709570527,0.10213335521241806,0.0,0.08649580070552429,0.10032540948093675
60,0.0,0.0,0,0.0,0.0,55.9,0.0,10.322222222222223,0.0,0,David Welty,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,1,1.6000000000000003,0.0,53.1,0.0,4.05,0.0,4,David Welty,0.0,0.44137931034482764,1.0,0.0,0.0
62,0.02800186291766138,6.354632034632035,2,0.0,0.0011086937394533178,54.20796630316812,0.2,9.260585081192245,3.0,6,David Welty,0.0,0.11570009834769024,1.0,0.0,0.0
63,0.0,0.0,0,0.0,0.0,52.166666666666664,0.0,12.144927536231885,0.0,0,Kevin Couch,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,1,0.0,0.0,52.166666666666664,0.0,12.144927536231885,0.0,0,Kevin Couch,0.0,0.0,0.0,0.0,0.0
65,0.0,10.0,2,0.0,-0.0,52.166666666666664,0.2,11.638888888888891,1.0,24,Kevin Couch,0.0,0.0,1.0,0.0,-0.0
66,0.0,0.0,0,0.0,0.0,54.46153846153846,0.0,15.900452488687778,0.0,0,Scott Riley,0.0,0.0,0.0,0.0,0.0
67,-0.01311970109652764,4.097551020408163,1,0.0,-3.8395500872286186e-05,53.95773228311678,0.05,10.177037130671318,5.0,11,Scott Riley,0.0,0.19303965084454155,1.0,0.09547587019395627,0.5298346942451471
68,-0.0,2.0487755102040817,2,0.0,-0.0,54.17021512872573,0.95,15.689520115166813,2.0,41,Scott Riley,0.0,0.04289144601555339,1.0,0.0,0.07542141330953839
69,0.0,0.0,0,0.0,0.0,65.0,0.0,17.523809523809526,0.0,0,Conner Russell,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,1,0.0,0.0,65.0,0.0,17.523809523809526,0.0,0,Conner Russell,0.0,0.0,0.0,0.0,0.0
71,-0.0,0.6216326530612245,2,0.0,0.0,60.8019289257699,0.99,13.55196147373714,3.0,22,Conner Russell,-0.0,0.1898283901570188,0.0,0.374905541687742,-0.0
72,0.0,0.0,0,1.4000000000000006,0.0,58.4,0.0,1.800000000000003,0.0,4,David Falzone,0.0,0.5764705882352934,0.0,0.0,0.0
73,0.0,0.0,1,0.6000000000000002,0.0,58.0,0.0,6.2400000000000055,0.0,5,David Falzone,0.0,0.10344827586206806,1.0,0.0,0.0
74,-0.0,10.0,2,0.0,0.0,59.77777777777778,0.4,5.950617283950617,1.0,9,David Falzone,0.0,0.0,1.0,-0.0,0.0
75,0.0,0.0,0,-0.7000000000000002,0.0,50.6,0.0,3.1800000000000015,0.0,5,Jeff Fiedler,0.0,0.2355769230769229,0.0,0.0,0.0
76,0.0,0.0,1,0.0,0.0,51.0,0.0,19.000000000000004,0.0,3,Jeff Fiedler,0.0,0.0,0.0,0.0,0.0
77,-0.0,10.0,2,0.0,0.0,53.86666666666667,0.2,10.315555555555557,1.0,30,Jeff Fiedler,0.0,0.0,1.0,0.0,0.0
78,0.0,0.0,0,0.0,0.0,56.63333333333333,0.0,8.033333333333335,0.0,0,Joe Wharton,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,1,0.0,0.0,56.63333333333333,0.0,8.033333333333335,0.0,0,Joe Wharton,0.0,0.0,0.0,0.0,0.0
80,-0.0,10.0,2,0.0,0.0,56.63333333333333,0.2,7.765555555555556,1.0,30,Joe Wharton,0.0,0.0,1.0,-0.0,-0.0
81,0.0,0.0,0,0.0,0.0,58.37931034482759,0.0,14.315270935960587,0.0,0,Ari Freedman,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,1,0.0,0.0,56.75,0.0,10.6875,0.0,4,Ari Freedman,0.0,0.0,1.0,0.0,0.0
83,-0.00408336483475555,2.0487755102040817,2,0.0,-0.0008020452689346408,57.948339949794196,0.05,11.996912785300076,6.0,25,Ari Freedman,8.338024031306443,0.13256935552839555,0.0,0.0654708143480279,0.13731382712804815
84,0.0,0.0,0,0.0,0.0,51.75,0.0,18.513157894736846,0.0,0,Peter Sontag,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,1,0.39999999999999997,0.0,48.9,0.0,4.050000000000008,0.0,4,Peter Sontag,0.0,0.04705882352940993,1.0,0.0,0.0
86,-0.08417903775976698,4.117551020408164,2,0.0,-0.00013120095207208753,55.353590275419315,0.05,12.549408971687333,5.0,16,Peter Sontag,0.0,0.35111114991881287,1.0,0.12151506912910943,0.3249098381514065
87,0.0,0.0,0,0.0,0.0,56.18181818181818,0.0,22.963636363636365,0.0,0,AJ Jaussaud,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,1,0.0,0.0,56.18181818181818,0.0,22.963636363636365,0.0,0,AJ Jaussaud,0.0,0.0,0.0,0.0,0.0
89,0.013553353760558275,1.6710204081632654,2,0.0,-0.0014760822279364255,54.38494646715528,0.05,13.690023227928748,7.0,11,AJ Jaussaud,0.0,0.3442229570152896,1.0,0.09239827526249166,0.14624317480267407
90,0.0,0.0,0,0.0,0.0,60.0,0.0,37.30478395061729,0.0,0,Aaron Hesterman,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,1,0.0,0.0,60.0,0.0,37.30478395061729,0.0,0,Aaron Hesterman,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,2,0.0,0.0,60.0,0.0,33.77324263038549,0.0,1,Aaron Hesterman,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0,0.0,0.0,64.18181818181819,0.0,32.56363636363637,0.0,1,Aaron Kirby,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,1,0.0,0.0,62.5,0.0,12.500000000000002,0.0,2,Aaron Kirby,0.0,0.0,0.0,0.0,0.0
95,-0.0,2.466530612244898,2,0.0,-0.0,62.521922306229925,0.9,30.953718553384853,2.0,8,Aaron Kirby,0.0,0.17146048205076092,1.0,0.23083218969895547,0.0
96,0.0,0.0,0,0.0,0.0,58.5,0.0,24.5,0.0,0,Andy Sommers,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,1,0.0,0.0,58.5,0.0,24.5,0.0,0,Andy Sommers,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,2,0.0,0.0,58.5,0.0,24.5,0.0,2,Andy Sommers,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0,1.5142857142857142,0.0,53.38095238095238,0.0,6.4507936507936465,0.0,6,Bob McGarity,0.0,0.5090305043793419,0.0,0.0,0.0
100,-0.0,1.8448979591836736,1,0.0,0.0,55.45454545454545,0.95,9.884297520661157,1.0,11,Bob McGarity,0.0,0.0,1.0,0.0,0.0
101,-0.059496412834110286,3.068163265306122,2,0.0,-0.0008318742545772239,62.076263266062284,0.05,17.100209972473134,5.0,11,Bob McGarity,0.0,0.13570367307048903,1.0,0.04877366921904705,0.12163680414166941
102,0.0,0.0,0,0.0,0.0,57.125,0.0,8.696428571428571,0.0,1,Bryan Hesterman,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,1,0.0,0.0,55.666666666666664,0.0,2.333333333333333,0.0,3,Bryan Hesterman,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,2,-2.3000000000000003,0.0,61.2,0.0,4.575000000000004,0.0,4,Bryan Hesterman,0.0,0.5910614525139661,1.0,0.0,0.0
105,0.0,0.0,0,0.0,0.0,61.0,0.0,37.30478395061729,0.0,0,Chad Inman,0.0,0.0,0.0,0.0,0.0
106,0.0,0.0,1,0.0,0.0,61.0,0.0,37.30478395061729,0.0,0,Chad Inman,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,2,0.0,0.0,61.0,0.0,33.77324263038549,0.0,1,Chad Inman,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0,0.0,0.0,51.2,0.0,13.7,0.0,0,Chris Basuino,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,1,0.0,0.0,52.0,0.0,9.0,0.0,3,Chris Basuino,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,2,0.0,0.0,50.0,0.0,32.00000000000001,0.0,2,Chris Basuino,0.0,0.0,0.0,0.0,0.0
111,-0.1610722478098877,0.8255102040816327,0,0.0,-3.3314183285899982e-06,62.39729324368481,0.05,9.06672003706345,8.0,14,Chris Isom,39.416194630584165,0.3821011379469972,0.0,0.07921107190955111,0.1657525663031527
112,0.0,0.0,1,0.0,0.0,55.25,0.0,16.6,0.0,0,Chris Isom,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,2,0.0,0.0,53.0,0.0,32.00000000000001,0.0,2,Chris Isom,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0,0.0,0.0,63.0,0.0,37.30478395061729,0.0,0,Curtis Bauer,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,1,0.0,0.0,63.0,0.0,37.30478395061729,0.0,0,Curtis Bauer,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,2,0.0,0.0,63.0,0.0,33.77324263038549,0.0,1,Curtis Bauer,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0,0.0,0.0,59.0,0.0,1.1112220782958926,0.0,2,David Randall,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,1,0.0,0.0,60.666666666666664,0.0,8.333333333333332,0.0,0,David Randall,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,2,0.0,0.0,60.666666666666664,0.0,8.333333333333332,0.0,1,David Randall,0.0,0.0,0.0,0.0,0.0
120,0.0,5.12,0,0.0,8.77539934208187e-05,51.14461097831522,0.05,7.724645740546188,3.0,13,Greg Breazeale,60.422026192882456,0.0767573336970967,0.0,0.0,0.012659865970977695
121,0.0,0.0,1,0.0,0.0,51.64705882352941,0.0,9.242647058823529,0.0,0,Greg Breazeale,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,2,-0.10000000000000002,0.0,52.9,0.0,8.174999999999992,0.0,4,Greg Breazeale,0.0,0.0015267175572528657,2.0,0.0,0.0
123,0.0,0.0,0,0.0,0.0,66.0,0.0,37.30478395061729,0.0,0,Jaques Duhon,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,1,0.0,0.0,66.0,0.0,37.30478395061729,0.0,0,Jaques Duhon,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,2,0.0,0.0,66.0,0.0,33.77324263038549,0.0,1,Jaques Duhon,0.0,0.0,0.0,0.0,0.0
126,0.0,1.437142857142857,0,0.0,-0.0,56.3652351773788,0.95,3.667146355051621,2.0,8,Joe Kestler,5.095419773347767,0.018002649693289796,0.0,-0.0,-0.0
127,-0.0,5.728571428571428,1,0.0,0.0003775125957376741,54.11199154623771,0.4,15.285660712900206,5.0,7,Joe Kestler,0.0,0.13709979846531095,1.0,-0.0,-0.19163213047337113
128,0.0,0.0,2,0.0,0.0,58.0,0.0,4.499999999999999,0.0,4,Joe Kestler,0.0,0.0,2.0,0.0,0.0
129,-0.0,10.0,0,0.0,0.0,55.46153846153846,0.5,28.71005917159763,1.0,13,Matt Neiman,0.0,0.0,0.0,-0.0,-0.0
130,0.0,0.0,1,0.0,0.0,52.5,0.0,4.499999999999999,0.0,2,Matt Neiman,0.0,0.0,0.0,0.0,0.0
131,0.0,0.0,2,0.0,0.0,50.0,0.0,2.0000000000000004,0.0,2,Matt Neiman,0.0,0.0,0.0,0.0,0.0
132,0.0,0.0,0,0.0,0.0,55.08108108108108,0.0,15.632132132132131,0.0,0,Matty Angell,0.0,0.0,0.0,0.0,0.0
133,0.0003034271163384683,2.56,1,0.0,0.0,54.8848033733608,0.05,1.6857481578652789,5.0,5,Matty Angell,0.0,0.636692207356621,2.0,0.16141975835922387,0.49887306147052524
134,-0.09220815513202925,1.7110204081632654,2,0.0,0.0002835952464075577,59.16547636067459,0.05,15.054797994813455,6.0,32,Matty Angell,0.0,0.08449948650816685,1.0,0.09843722231212722,0.10472273338940152
135,-0.006023672067803934,16.470204081632655,0,0.0,-1.2132609794845236e-05,55.814924942657875,0.05,4.260488514303737,4.0,8,Mike Degnan,40.77303381267911,0.049925906217981986,0.0,0.008192600039291804,0.018945473303225487
136,0.0,0.0,1,0.0,0.0,56.0,0.0,4.666666666666668,0.0,0,Mike Degnan,0.0,0.0,0.0,0.0,0.0
137,0.0,0.0,2,0.0,0.0,57.5,0.0,1.1112220782958926,0.0,2,Mike Degnan,0.0,0.0,0.0,0.0,0.0
138,0.0,0.0,0,0.0,0.0,58.5,0.0,4.499999999999999,0.0,0,Nate Lachance,0.0,0.0,0.0,0.0,0.0
139,0.0,0.0,1,0.0,0.0,58.5,0.0,4.499999999999999,0.0,0,Nate Lachance,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,2,0.0,0.0,58.5,0.0,4.499999999999999,0.0,2,Nate Lachance,0.0,0.0,0.0,0.0,0.0
141,-0.02625698649473618,3.422040816326531,0,0.0,-0.0,60.09862615318542,0.05,7.125883410380796,5.0,9,Nate Stone,89.29726055857236,0.28387524039597456,0.0,0.03592027147339821,0.1391591136258746
142,0.0,0.0,1,0.0,0.0,61.5,0.0,19.250000000000004,0.0,4,Nate Stone,0.0,0.0,1.0,0.0,0.0
143,0.0,0.0,2,0.0,0.0,60.357142857142854,0.0,13.478021978021978,0.0,1,Nate Stone,0.0,0.0,0.0,0.0,0.0
144,0.0,0.0,0,0.0,0.0,54.642857142857146,0.0,13.631868131868133,0.0,0,Nick Calabrese,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,1,0.0,0.0,54.642857142857146,0.0,13.631868131868133,0.0,0,Nick Calabrese,0.0,0.0,0.0,0.0,0.0
146,-0.1297256184957017,3.3420408163265307,2,0.0,-0.0004467169727331203,61.75064335704915,0.05,9.246757392712633,5.0,14,Nick Calabrese,0.0,0.2695024389473294,1.0,0.055313847718019477,0.179237122339361
147,0.0,0.0,0,0.0,0.0,65.0,0.0,37.30478395061729,0.0,0,Harry Snodgrass,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,1,0.0,0.0,65.0,0.0,37.30478395061729,0.0,0,Harry Snodgrass,0.0,0.0,0.0,0.0,0.0
149,0.0,0.0,2,0.0,0.0,65.0,0.0,33.77324263038549,0.0,1,Harry Snodgrass,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0,0.0,0.0,71.0,0.0,37.30478395061729,0.0,0,Brian Fattig,0.0,0.0,0.0,0.0,0.0
151,0.0,0.0,1,0.0,0.0,71.0,0.0,37.30478395061729,0.0,0,Brian Fattig,0.0,0.0,0.0,0.0,0.0
152,0.0,0.0,2,0.0,0.0,71.0,0.0,33.77324263038549,0.0,1,Brian Fattig,0.0,0.0,0.0,0.0,0.0
153,0.0,0.0,0,0.0,0.0,63.0,0.0,37.30478395061729,0.0,0,Matt Wilcox,0.0,0.0,0.0,0.0,0.0
154,0.0,0.0,1,0.0,0.0,63.0,0.0,37.30478395061729,0.0,0,Matt Wilcox,0.0,0.0,0.0,0.0,0.0
