,T_coeff,course_id,cumgame_coeff,dirvar_coeff,gustvar_coeff,intercept,mse,n_value,nomatch,player,precip_coeff,prediction_score,rh_coeff,u_coeff,uv_var_coeff,v_coeff,wdir_coeff,wgust_coeff,wspd_coeff
53,-0.0,2,-0.0,0.0,-0.0,54.577777777777776,12.73245381807187,45.0,,Will Roller,0.0,0.2700934497340185,0.0,0.0,0.0,-0.459465726652234,-0.7614048840918332,0.8946956807159065,0.0
54,,0,,,,,,,1.0,Anni Kreml,,,,,,,,,
55,,1,,,,,,,1.0,Anni Kreml,,,,,,,,,
56,-0.0,2,0.0,-0.0,0.0,60.32142857142857,9.78954081632653,28.0,,Anni Kreml,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
57,,0,,,,,,,1.0,Case Conover,,,,,,,,,
58,,1,,,,,,,1.0,Case Conover,,,,,,,,,
59,0.03290296723587228,2,-0.49484163276537496,-0.05100242351878615,0.0,56.526315789473685,7.3441624158997625,57.0,,Case Conover,-0.0,0.16311785601647277,-0.0,-0.0,-0.0,-0.0,0.0,0.5972064226622718,0.0
60,,0,,,,,,,1.0,David Welty,,,,,,,,,
61,,1,,,,,,,1.0,David Welty,,,,,,,,,
62,,2,,,,,,,1.0,David Welty,,,,,,,,,
63,,0,,,,,,,1.0,Kevin Couch,,,,,,,,,
64,,1,,,,,,,1.0,Kevin Couch,,,,,,,,,
65,0.0,2,-0.2872399400539738,-0.0,0.0,52.166666666666664,10.654003921525574,24.0,,Kevin Couch,0.0,0.08462018812668115,-0.0,0.0,-0.0,0.0,0.18215532094888168,-0.0,-0.0
66,,0,,,,,,,1.0,Scott Riley,,,,,,,,,
67,,1,,,,,,,1.0,Scott Riley,,,,,,,,,
68,-0.0,2,0.0,-0.0,0.0,54.4390243902439,15.735852882027167,41.0,,Scott Riley,0.0,0.0400650059991412,-0.0,-0.030352170906066206,0.0,-0.05835524021855675,-0.0,0.05977622841487545,0.06200608688083953
69,,0,,,,,,,1.0,Conner Russell,,,,,,,,,
70,,1,,,,,,,1.0,Conner Russell,,,,,,,,,
71,-0.0,2,-2.239252094033259,0.0,-0.0,65.0,8.180907695717169,22.0,,Conner Russell,0.2079547160789586,0.510923996451691,0.0,0.0,-0.0,-0.0,-0.0,0.5282882723697634,0.5175044451119254
72,,0,,,,,,,1.0,David Falzone,,,,,,,,,
73,,1,,,,,,,1.0,David Falzone,,,,,,,,,
74,,2,,,,,,,1.0,David Falzone,,,,,,,,,
75,,0,,,,,,,1.0,Jeff Fiedler,,,,,,,,,
76,,1,,,,,,,1.0,Jeff Fiedler,,,,,,,,,
77,-0.0,2,-0.0,0.0,-0.0,53.86666666666667,10.315555555555557,30.0,,Jeff Fiedler,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
78,,0,,,,,,,1.0,Joe Wharton,,,,,,,,,
79,,1,,,,,,,1.0,Joe Wharton,,,,,,,,,
80,-0.0,2,0.0,0.0,-0.0,56.63333333333333,7.765555555555556,30.0,,Joe Wharton,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
