,time,T,w_dir,w_spd,w_gust,rh,precip
0,2017-05-10 00:00:00,54.8,,0.0,0.0,85.0,0.0
1,2017-05-10 00:05:00,54.8,248.0,0.0,3.0,85.0,0.0
2,2017-05-10 00:10:00,54.8,225.0,1.0,4.0,86.0,0.0
3,2017-05-10 00:15:00,54.8,225.0,2.0,12.0,86.0,0.0
4,2017-05-10 00:20:00,54.6,225.0,2.0,12.0,86.0,0.0
5,2017-05-10 00:25:00,54.4,225.0,4.0,12.0,87.0,0.0
6,2017-05-10 00:30:00,54.4,248.0,4.0,11.0,88.0,0.0
7,2017-05-10 00:35:00,54.2,225.0,7.0,15.0,88.0,0.0
8,2017-05-10 00:40:00,54.2,225.0,7.0,15.0,88.0,0.0
9,2017-05-10 00:45:00,54.3,225.0,6.0,16.0,88.0,0.0
10,2017-05-10 00:50:00,54.4,225.0,5.0,12.0,88.0,0.0
11,2017-05-10 00:55:00,54.4,225.0,8.0,16.0,88.0,0.0
12,2017-05-10 01:00:00,54.4,225.0,7.0,16.0,88.0,0.0
13,2017-05-10 01:05:00,54.3,225.0,5.0,13.0,88.0,0.0
14,2017-05-10 01:10:00,54.5,225.0,6.0,13.0,88.0,0.0
15,2017-05-10 01:15:00,54.5,225.0,6.0,12.0,88.0,0.0
16,2017-05-10 01:20:00,54.5,225.0,3.0,11.0,88.0,0.0
17,2017-05-10 01:25:00,54.3,225.0,6.0,14.0,88.0,0.0
18,2017-05-10 01:30:00,54.5,248.0,5.0,14.0,88.0,0.0
19,2017-05-10 01:35:00,54.6,225.0,5.0,12.0,87.0,0.0
20,2017-05-10 01:40:00,54.7,225.0,4.0,9.0,87.0,0.0
21,2017-05-10 01:45:00,54.6,225.0,3.0,11.0,87.0,0.0
22,2017-05-10 01:50:00,54.5,225.0,3.0,12.0,87.0,0.0
23,2017-05-10 01:55:00,54.5,225.0,4.0,11.0,87.0,0.0
24,2017-05-10 02:00:00,54.5,225.0,5.0,12.0,87.0,0.0
25,2017-05-10 02:05:00,54.6,225.0,3.0,8.0,87.0,0.0
26,2017-05-10 02:10:00,54.6,225.0,2.0,9.0,87.0,0.0
27,2017-05-10 02:15:00,54.5,225.0,3.0,9.0,87.0,0.0
28,2017-05-10 02:20:00,54.5,225.0,2.0,10.0,87.0,0.0
29,2017-05-10 02:25:00,54.4,225.0,2.0,9.0,87.0,0.0
30,2017-05-10 02:30:00,54.5,225.0,2.0,10.0,87.0,0.0
31,2017-05-10 02:35:00,54.4,225.0,2.0,9.0,87.0,0.0
32,2017-05-10 02:40:00,54.4,225.0,3.0,8.0,88.0,0.0
33,2017-05-10 02:45:00,54.5,225.0,2.0,9.0,88.0,0.0
34,2017-05-10 02:50:00,54.6,225.0,3.0,8.0,88.0,0.0
35,2017-05-10 02:55:00,54.6,225.0,5.0,12.0,88.0,0.0
36,2017-05-10 03:00:00,54.6,225.0,6.0,12.0,87.0,0.0
37,2017-05-10 03:05:00,54.4,225.0,7.0,15.0,87.0,0.0
38,2017-05-10 03:10:00,54.4,225.0,6.0,13.0,87.0,0.0
39,2017-05-10 03:15:00,54.2,225.0,8.0,16.0,87.0,0.0
40,2017-05-10 03:20:00,54.2,225.0,5.0,14.0,87.0,0.0
41,2017-05-10 03:25:00,54.2,225.0,5.0,13.0,87.0,0.0
42,2017-05-10 03:30:00,54.2,225.0,7.0,15.0,87.0,0.0
43,2017-05-10 03:35:00,54.1,225.0,8.0,16.0,87.0,0.0
44,2017-05-10 03:40:00,54.1,225.0,9.0,16.0,87.0,0.0
45,2017-05-10 03:45:00,54.2,225.0,6.0,15.0,87.0,0.0
46,2017-05-10 03:50:00,54.1,225.0,8.0,16.0,87.0,0.0
47,2017-05-10 03:55:00,54.1,202.0,5.0,15.0,87.0,0.0
48,2017-05-10 04:00:00,54.2,225.0,4.0,11.0,87.0,0.0
49,2017-05-10 04:05:00,54.2,202.0,5.0,13.0,88.0,0.0
50,2017-05-10 04:10:00,54.2,225.0,6.0,15.0,87.0,0.0
51,2017-05-10 04:15:00,54.2,225.0,8.0,14.0,87.0,0.0
52,2017-05-10 04:20:00,54.1,225.0,8.0,15.0,87.0,0.0
53,2017-05-10 04:25:00,54.2,225.0,3.0,11.0,87.0,0.0
54,2017-05-10 04:30:00,54.2,225.0,5.0,11.0,87.0,0.0
55,2017-05-10 04:35:00,54.3,225.0,4.0,11.0,87.0,0.0
56,2017-05-10 04:40:00,54.4,202.0,4.0,15.0,87.0,0.0
57,2017-05-10 04:45:00,54.3,225.0,5.0,13.0,87.0,0.0
58,2017-05-10 04:50:00,54.3,202.0,3.0,10.0,87.0,0.0
59,2017-05-10 04:55:00,54.3,225.0,4.0,16.0,87.0,0.0
60,2017-05-10 05:00:00,54.3,225.0,5.0,13.0,86.0,0.0
61,2017-05-10 05:05:00,54.3,225.0,7.0,16.0,86.0,0.0
62,2017-05-10 05:10:00,54.3,202.0,3.0,11.0,86.0,0.0
63,2017-05-10 05:15:00,54.3,202.0,3.0,8.0,86.0,0.0
64,2017-05-10 05:20:00,54.4,202.0,3.0,9.0,86.0,0.0
65,2017-05-10 05:25:00,54.4,225.0,4.0,13.0,85.0,0.0
66,2017-05-10 05:30:00,54.4,225.0,6.0,16.0,85.0,0.0
67,2017-05-10 05:35:00,54.4,202.0,2.0,11.0,86.0,0.0
68,2017-05-10 05:40:00,54.4,225.0,5.0,10.0,86.0,0.0
69,2017-05-10 05:45:00,54.4,202.0,3.0,9.0,85.0,0.0
70,2017-05-10 05:50:00,54.4,202.0,3.0,9.0,85.0,0.0
71,2017-05-10 05:55:00,54.4,202.0,2.0,9.0,85.0,0.0
72,2017-05-10 06:00:00,54.4,202.0,1.0,7.0,85.0,0.0
73,2017-05-10 06:05:00,54.4,202.0,4.0,12.0,85.0,0.0
74,2017-05-10 06:10:00,54.4,225.0,5.0,11.0,84.0,0.0
75,2017-05-10 06:15:00,54.5,225.0,2.0,8.0,84.0,0.0
76,2017-05-10 06:20:00,54.6,225.0,3.0,12.0,84.0,0.0
77,2017-05-10 06:25:00,54.6,225.0,6.0,12.0,85.0,0.0
78,2017-05-10 06:30:00,54.6,202.0,2.0,11.0,85.0,0.0
79,2017-05-10 06:35:00,54.6,225.0,7.0,17.0,85.0,0.0
80,2017-05-10 06:40:00,54.6,225.0,6.0,13.0,85.0,0.0
81,2017-05-10 06:45:00,54.5,225.0,6.0,13.0,85.0,0.0
82,2017-05-10 06:50:00,54.6,225.0,5.0,14.0,85.0,0.0
83,2017-05-10 06:55:00,54.7,225.0,7.0,15.0,85.0,0.0
84,2017-05-10 07:00:00,54.7,225.0,5.0,12.0,85.0,0.0
85,2017-05-10 07:05:00,54.8,225.0,6.0,15.0,84.0,0.0
86,2017-05-10 07:10:00,54.9,225.0,5.0,13.0,84.0,0.0
87,2017-05-10 07:15:00,54.9,225.0,5.0,12.0,84.0,0.0
88,2017-05-10 07:20:00,55.0,225.0,7.0,15.0,84.0,0.0
89,2017-05-10 07:25:00,55.2,225.0,6.0,12.0,84.0,0.0
90,2017-05-10 07:30:00,55.2,225.0,6.0,15.0,84.0,0.0
91,2017-05-10 07:35:00,55.4,225.0,3.0,9.0,84.0,0.0
92,2017-05-10 07:40:00,55.5,225.0,5.0,10.0,84.0,0.0
93,2017-05-10 07:45:00,55.5,225.0,4.0,10.0,84.0,0.0
94,2017-05-10 07:50:00,55.6,225.0,3.0,12.0,84.0,0.0
95,2017-05-10 07:55:00,55.5,225.0,3.0,7.0,84.0,0.0
96,2017-05-10 08:00:00,55.3,225.0,2.0,8.0,84.0,0.0
97,2017-05-10 08:05:00,55.2,248.0,4.0,11.0,84.0,0.0
98,2017-05-10 08:10:00,55.4,202.0,1.0,5.0,84.0,0.0
99,2017-05-10 08:15:00,55.5,248.0,2.0,8.0,84.0,0.0
100,2017-05-10 08:20:00,55.3,248.0,3.0,10.0,85.0,0.0
101,2017-05-10 08:25:00,55.0,248.0,4.0,11.0,85.0,0.0
102,2017-05-10 08:30:00,55.0,248.0,5.0,11.0,86.0,0.0
103,2017-05-10 08:35:00,55.0,248.0,7.0,11.0,85.0,0.0
104,2017-05-10 08:40:00,55.1,248.0,6.0,11.0,84.0,0.0
105,2017-05-10 08:45:00,55.2,225.0,7.0,12.0,84.0,0.0
106,2017-05-10 08:50:00,55.4,225.0,5.0,11.0,83.0,0.0
107,2017-05-10 08:55:00,55.4,225.0,7.0,11.0,83.0,0.0
108,2017-05-10 09:00:00,55.6,225.0,6.0,11.0,82.0,0.0
109,2017-05-10 09:05:00,55.6,225.0,6.0,12.0,83.0,0.0
110,2017-05-10 09:10:00,55.9,225.0,3.0,9.0,82.0,0.0
111,2017-05-10 09:15:00,55.9,225.0,3.0,11.0,82.0,0.0
112,2017-05-10 09:20:00,55.9,225.0,5.0,13.0,82.0,0.0
113,2017-05-10 09:25:00,55.9,248.0,8.0,14.0,81.0,0.0
114,2017-05-10 09:30:00,56.2,225.0,6.0,12.0,81.0,0.0
115,2017-05-10 09:35:00,56.4,225.0,4.0,12.0,81.0,0.0
116,2017-05-10 09:40:00,56.6,248.0,5.0,11.0,81.0,0.0
117,2017-05-10 09:45:00,56.5,248.0,8.0,12.0,80.0,0.0
118,2017-05-10 09:50:00,56.2,225.0,7.0,14.0,81.0,0.0
119,2017-05-10 09:55:00,56.6,248.0,5.0,13.0,81.0,0.0
120,2017-05-10 10:00:00,56.8,225.0,5.0,12.0,79.0,0.0
121,2017-05-10 10:05:00,56.9,248.0,5.0,9.0,81.0,0.0
122,2017-05-10 10:10:00,57.1,248.0,3.0,9.0,82.0,0.0
123,2017-05-10 10:15:00,57.1,225.0,3.0,10.0,80.0,0.0
124,2017-05-10 10:20:00,57.6,225.0,4.0,10.0,79.0,0.0
125,2017-05-10 10:25:00,57.7,248.0,3.0,9.0,80.0,0.0
126,2017-05-10 10:30:00,57.5,225.0,5.0,13.0,78.0,0.0
127,2017-05-10 10:35:00,57.8,225.0,6.0,13.0,78.0,0.0
128,2017-05-10 10:40:00,58.2,248.0,4.0,10.0,79.0,0.0
129,2017-05-10 10:45:00,57.9,248.0,4.0,10.0,80.0,0.0
130,2017-05-10 10:50:00,57.5,248.0,5.0,12.0,81.0,0.0
131,2017-05-10 10:55:00,57.6,248.0,4.0,12.0,81.0,0.0
132,2017-05-10 11:00:00,57.5,248.0,6.0,11.0,80.0,0.0
133,2017-05-10 11:05:00,58.0,248.0,8.0,14.0,79.0,0.0
134,2017-05-10 11:10:00,57.8,248.0,9.0,14.0,78.0,0.0
135,2017-05-10 11:15:00,57.7,248.0,8.0,12.0,79.0,0.0
136,2017-05-10 11:20:00,57.8,248.0,6.0,9.0,79.0,0.0
137,2017-05-10 11:25:00,57.7,248.0,6.0,16.0,80.0,0.0
138,2017-05-10 11:30:00,57.5,270.0,8.0,13.0,81.0,0.0
139,2017-05-10 11:35:00,57.9,248.0,6.0,11.0,81.0,0.0
140,2017-05-10 11:40:00,58.4,248.0,4.0,12.0,79.0,0.0
141,2017-05-10 11:45:00,58.6,248.0,4.0,10.0,78.0,0.0
142,2017-05-10 11:50:00,58.6,248.0,7.0,13.0,77.0,0.0
143,2017-05-10 11:55:00,58.9,248.0,5.0,11.0,77.0,0.0
144,2017-05-10 12:00:00,59.1,225.0,5.0,12.0,75.0,0.0
145,2017-05-10 12:05:00,59.6,248.0,5.0,11.0,76.0,0.0
146,2017-05-10 12:10:00,59.4,248.0,6.0,13.0,77.0,0.0
147,2017-05-10 12:15:00,58.9,270.0,5.0,13.0,79.0,0.0
148,2017-05-10 12:20:00,58.3,248.0,8.0,14.0,79.0,0.0
149,2017-05-10 12:25:00,58.2,248.0,5.0,12.0,81.0,0.0
150,2017-05-10 12:30:00,58.5,248.0,5.0,12.0,79.0,0.0
151,2017-05-10 12:35:00,58.4,248.0,6.0,13.0,80.0,0.0
152,2017-05-10 12:40:00,58.1,248.0,8.0,14.0,79.0,0.0
153,2017-05-10 12:45:00,58.0,248.0,8.0,15.0,80.0,0.0
154,2017-05-10 12:50:00,57.7,248.0,8.0,17.0,80.0,0.0
155,2017-05-10 12:55:00,57.8,248.0,9.0,15.0,80.0,0.0
156,2017-05-10 13:00:00,57.7,248.0,9.0,15.0,79.0,0.0
157,2017-05-10 13:05:00,57.5,270.0,8.0,16.0,80.0,0.0
158,2017-05-10 13:10:00,57.6,270.0,8.0,16.0,80.0,0.0
159,2017-05-10 13:15:00,57.6,248.0,9.0,15.0,80.0,0.0
160,2017-05-10 13:20:00,57.6,248.0,9.0,15.0,79.0,0.0
